zi,is_zi,n_strokes,id_kangxi,meaning,pinyin,term,examples,variant,n_frequency,category
心,1,4,,heart,xīn,竖心旁,必、忉、忌,忄 ⺗ 㣺,,
戈,1,4,62,halberd / spear,gē,,戊、戉、戌,,,
戶,1,4,,door,hù,,戹、戼、戽,,,
户,1,4,,door,hù,,戹、戼、戽,戸 戶,,
手,1,4,,hand,shǒu,提手旁,才、扎、扐,扌 龵,,
支,1,4,65,branch,zhī,,攰、攱、攲,,,
文,1,4,67,writing / script,wén,,斉、斌、斐,,,
斗,1,4,68,dipper / fight,dǒu,,料、斚、斛,鬥,,
斤,1,4,69,axe,jīn,,斥、斧、斨,,,
方,1,4,70,square,fāng,,㫃、於、㫄,,,
无,1,4,,not / without,wú,,既、旣、旤,旡,,
日,1,4,72,sun,rì,,旦、旨、早,,,
曰,1,4,73,say,yuē,,曲、曳、更,,,
月,1,4,74,moon / meat,ròu / yuè,,有、朋、服,⺼,,
木,1,4,75,tree / wood,mù,木字旁,未、末、本,,,
欠,1,4,76,owe / lack,qiàn,欠字旁,次、欣、欥,,,
止,1,4,77,stop,zhǐ,,正、此、步,,,
歹,1,4,,evil / death / bad,dǎi,,歺、死、歿,歺,,
毋,1,4,,do not ,mǔ / wú,,母、每、毐,,,
比,1,4,81,compare,bǐ,,毖、毗、毘,,,
毛,1,4,82,fur / hair,máo,,毡、毣、毧,,,
氏,1,4,83,clan,shì,,氐、民、氓,,,
气,1,4,84,steam,qì,,氕、氘、氚,,,
水,1,4,,water,shuǐ,三点水,永、氷、氾,氵 冫 氺 川,,
火,1,4,,fire,huǒ,火字旁,灰、灯、灶,灬,,
爪,1,4,,claw,zhǎo,受字头,爬、爭、爰,爫,,
父,1,4,88,father,fù,,爸、爹、爺,,,
片,1,4,91,slice,piàn,,版、牉、牌,爿 丬,,
牙,1,4,92,tooth / fang,yá,,㸦、㸧、牚,,,
牛,1,4,,cow,niú,牛字旁,牝、牟、牠,牜 ⺧,,
犬,1,4,,dog,quǎn,反犬旁,犮、犯、犰,犭,,
王,1,4,,jade,yù,,玻、瑪、璧,,,
瓦,1,4,98,tile,wǎ,,㼚、瓮、瓫,,,
见,1,4,,see,jiàn,,,見,,
贝,1,4,,shell,bèi,,,貝,,
