zi,n_frequency,category,is_radical,n_strokes
公,8.0,社会-,,4
氏,8.0,社会-,,4
韦,8.0,社会-,,4
戋,8.0,概念-,Y,5
出,8.0,概念-,,5
它,8.0,动物-,,5
矛,8.0,社会-,,5
坙,8.0,植物-,Y,7
邑,8.0,社会-,,7
咸,8.0,概念-,,9
睪,8.0,人-生理,,13
凵,7.0,radical,Y,2
三,7.0,数理-计算,,3
亏,7.0,概念-,,3
丑,7.0,概念-,,4
井,7.0,天文-水,Y,4
疋,7.0,数理-度量,Y,5
北,7.0,数理-时空,,5
尼,7.0,,,5
玄,7.0,概念-,,5
覀,7.0,概念-,Y,6
耒,7.0,社会-,,6
赤,7.0,数理-颜色,,7
齿,7.0,人-生理,,8
畏,7.0,,,9
民,7.0,社会-,,5
㔾,6.0,社会-,Y,2
久,6.0,概念-,,3
川,6.0,地理-土,,3
弋,6.0,社会-,,3
戶,6.0,社会-,,4
片,6.0,数理-度量,,4
刍,6.0,概念-,Y,5
丙,6.0,数理-天干,,5
东,6.0,数理-时空,,5
母,6.0,人-伦理,,5
并,6.0,概念-,,6
臣,6.0,社会-,,6
血,6.0,人-生理,,6
西,6.0,数理-时空,,6
龺,6.0,radical,Y,8
司,6.0,社会-,,4
鬲,6.0,社会-,,10
匸,5.0,radical,Y,2
了,5.0,概念-,,2
兀,5.0,概念-,Y,3
丸,5.0,概念-,,3
爿,5.0,天文-木,Y,4
父,5.0,人-伦理,,4
长,5.0,概念-,,4
风,5.0,天文-,,4
丘,5.0,地理-土,,5
业,5.0,社会-,,5
兄,5.0,人-伦理,,5
宁,5.0,概念-,,5
末,5.0,概念-,,5
玉,5.0,地理-,,5
用,5.0,社会-,,5
聿,5.0,社会-,Y,6
齐,5.0,概念-,,6
呙,5.0,概念-,Y,7
奂,5.0,概念-,Y,7
身,5.0,人-生理,,7
奉,5.0,概念-,,8
面,5.0,人-生理,,9
眉,5.0,人-生理,Y,9
七,4.0,数理-计算,,2
巛,4.0,天文-水,Y,3
之,4.0,概念-,,3
爻,4.0,概念-,Y,4
勾,4.0,社会-,,4
午,4.0,数理-时空,,4
冬,4.0,数理-时空,,5
术,4.0,社会-,,5
吕,4.0,概念-,,6
㐬,4.0,,Y,7
夆,4.0,概念-,,7
员,4.0,社会-,,7
兔,4.0,动物-生肖,Y,8
酋,4.0,社会-,,9
乀,3.0,radical,Y,1
