zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en,is_ele
术,9512,,,,,木,,丶,,,,,2024-01-15 12:15:37,,Y,,from HSK,method/technique,1
肃,9695,,,丿,肀,八,,,,丨,,,2024-01-26 22:56:23,,Y,,from HSK,respectful/solemn/to eliminate/to clean up,0
拖,10270,,扌,,丿 一,,也,,,,,,2024-01-26 16:33:59,,Y,,from HSK,to drag/to tow/to trail/to hang down/to mop (the floor)/to delay/to drag on,0
为,10449,丶,,,,力,,,,,,丶,2024-01-14 14:42:45,,Y,,from HSK,as (in the capacity of)/to take sth as/to act as/to serve as/to behave as/to become/to be/to do/by (in the passive voice),1
薛,11386,,,,艹,,,,辛,,,,2024-01-28 13:38:18,,Y,,from HSK / incomplete,wormwood like grass (classical),0
压,11463,厂,,,,土,,,,,,丶,2024-01-15 13:34:52,,Y,,from HSK,to press/to push down/to keep under (control)/pressure,0
燕,11612,,,,廿,北,灬,,,,,口,2024-01-27 23:19:29,,Y,,from HSK,swallow (family Hirundinidae)/old variant of 宴[yan4],0
扬,11649,,扌,,,,,,,,,,2024-01-15 13:36:53,,Y,,"from HSK, incomplete",to raise/to hoist/the action of tossing or winnowing/scattering (in the wind)/to flutter/to propagate,0
杨,11653,,木,,,,,,,,,,2024-01-17 00:06:44,,Y,,"from HSK, incomplete",poplar,0
羊,11659,,,,丷, 三,,,,,,丨,2024-01-15 13:37:22,,Y,,from HSK,"sheep; goat/CL:頭|头[tou2],隻|只[zhi1]",1
夜,11763,,亻,,亠,夂,,,,,,丶,2024-01-26 23:05:53,,Y,,from HSK,night,0
尤,12180,,,,,尢,,丶,,,,,2024-01-14 14:49:09,,Y,,from HSK,"outstanding/particularly, especially/a fault/to express discontentment against",1
展,12728,,,,尸,,,,,,,,2024-01-25 22:04:37,,Y,,"from HSK, incomplete",to spread out/to open up/to exhibit/to put into effect/to postpone/to prolong/exhibition,0
周,13110,,,,土,,口,,,,冂,,2024-01-26 16:46:42,,Y,,from HSK,to make a circuit/to circle/circle/circumference/lap/cycle/complete/all/all over/thorough/to help financially,0
朱,13153,丿,,,一,木,,,,,,,2024-01-15 13:44:01,,Y,,from HSK,vermilion,0
足,13451,,,,口 ,,,,,,,,2024-01-17 00:19:05,,Y,,"from HSK, incomplete",foot/to be sufficient/ample,1
左,13508,丿,,,一,工,,,,,,,2024-01-15 12:38:42,,Y,,from HSK,left/the Left (politics)/east/unorthodox/queer/wrong/differing/opposite/variant of 佐[zuo3],0
畏,10502,,,,田,,,,,,,,2024-01-27 00:23:02,,Y,,from HSK / incomplete,to fear,1
徙,10792,,彳,,止,,疋,,,,,,2024-01-28 13:10:27,,Y,,from HSK,(literary) to change one's residence,0
亦,11884,,,,亠,,,,,,,,2024-01-15 13:39:29,,Y,,"from HSK, incomplete",also,0
绎,11938,,纟,,又,二,,,,,,丨,2024-01-28 11:04:44,,Y,,from HSK,continuous/to interpret/to unravel/to draw silk (old),0
肄,11944,匕,,矢,,聿,,,,,,,2024-01-28 15:17:05,,Y,,from HSK,to learn/to practice or study (old),0
译,11966,,讠,,又,二,,,,,,丨,2024-01-23 22:59:16,,Y,,from HSK,to translate/to interpret,0
鹰,12086,广,,,,亻 隹,鸟,,,,,,2024-01-27 23:21:57,,Y,,from HSK,eagle/falcon/hawk,0
赢,12108,,,月,亡,口,贝,,,凡,,,2024-01-27 23:22:29,,Y,,from HSK,to beat/to win/to profit,0
颖,12114,匕,,禾,,页,,,,,,,2024-01-28 15:17:20,,Y,,from HSK,head of grain/husk/tip/point/clever/gifted/outstanding,0
缘,12427,,纟,,彑,豕,,,,,,,2025-01-16 23:43:22,,Y,,from HSK,cause/reason/karma/fate/predestined affinity/margin/hem/edge/along,0
