zi,is_zi,id_kangxi,meaning,pinyin,n_strokes,term,examples,variant,n_frequency,category,sub_category
工,1,48.0,work,gōng,3,,左、巧、功、式,,24,社会-,
己,1,49.0,oneself,jǐ,3,,記、改、忌、龍,,15,人-生理,self
已,1,,already,,3,,,,0,,
巾,1,50.0,turban / cloth,jīn,3,巾字儿,市、帥、刷、砸,,55,社会-,cloth
干,1,51.0,dry,gān,3,,旱、开、平、年,,23,社会-,
乡,1,,village,,3,,,,0,,
幺,1,,small / short thread,yāo,3,,幻、麼、幽、幾,么,8,概念-,
广,1,53.0,broad / wide / shelter / dotted cliff,guǎng / yǎn,3,广字旁,庀、庂、庄,,42,概念-,
廾,1,55.0,arch / two hands,gǒng,3,弄字底,廿、弁、弄,,13,概念-,
弋,1,56.0,shoot,yì,3,,弌、弍、弎,,6,社会-,soldier
弓,1,57.0,bow / arrow,gōng,3,弓字旁,弔、引、弗,,24,社会-,tool
才,1,,talent,,3,,,,8,社会-,education
犭,1,,dog,quǎn,3,反犬旁,犮、犯、犰,,51,动物-,mammal
门,1,, door/gate,mén,3,,,門,22,社会-,housing
飞,1,,fly,fēi,3,,,飛,0,动物-,bird
马,1,,horse,mǎ,3,,,馬,44,动物-,mammal
攴,0,, tap / strike / rap,pū / pō,4,,收、攷、攸,,2,概念-,
攵,0,, tap / rap,pū,4,,收、攷、攸,,59,概念-,
旡,0,,not,wú,4,,既、旣、旤,,3,天文-,
朩,0,,,,4,,,,1,天文-木,
殳,0,79.0,weapon,shū,4,,段、殷、殺,,37,社会-,weapong
灬,0,,fire,huǒ,4,四点底 火字旁,灰、灯、灶,,20,天文-火,
爫,0,,claw,zhǎo,4,受字头,爬、爭、爰,,9,radical,
爻,0,89.0,line / trigrams,yáo,4,,爼、爽、爾,,4,概念-,
爿,0,,split wood / piece of wood,qiáng,4,将字旁,牀、牁、牂,,5,天文-木,
⺧,0,,cow,niú,4,牛字旁,牝、牟、牠,,2,动物-,mammal
牜,0,,cow,niú,4,牛字旁,牝、牟、牠,,15,动物-,mammal
⺩,0,,jade,yù,4,,,,0,radical,
礻,0,,spirit,shì,4,示字旁,礼、礽、社,,38,社会-,faith
禸,0,114.0,track,róu,4,,禹、禺、离,,1,radical,location
罓,0,,net,wǎng,4,,罔、罕、罘,,0,社会-,tool
耂,0,,old,lǎo,4,老字头,考、者、耆,,3,概念-,
不,1,,,,4,,,,11,概念-,
丑,1,,ugly,chǒu,4,,,,7,概念-,
专,1,,,,4,,,,3,,
中,1,,,,4,,,,12,数理-时空,location
丰,1,,,,4,,,,14,植物-,
为,1,,,,4,,,,1,概念-,
乌,1,,,,4,,,,2,数理-颜色,
云,1,,,,4,,,,12,天文-,
五,1,,,,4,,,,2,数理-计算,number
井,1,,,,4,,,,7,天文-水,
亢,1,,,,4,,,,11,概念-,
今,1,,,,4,,,,16,数理-时空,time
介,1,,,,4,,,,8,概念-,
仓,1,,,,4,,,,8,人-生理,food
以,1,,,,4,,,,3,,
元,1,,,,4,,,,13,数理-计算,number
公,1,,,,4,,,,8,社会-,
六,1,,,,4,,,,2,数理-计算,number
内,1,,,,4,,,,10,数理-时空,location
冈,1,,,,4,,,,3,地理-,
凶,1,,,,4,,,,3,概念-,
分,1,,,,4,,,,24,概念-,
办,1,,,,4,,,,2,,
勾,1,,,,4,,,,4,社会-,tool
勿,1,,,,4,,,,10,概念-,
匀,1,,,,4,,,,3,社会-,org
匹,1,,,,4,,,,1,数理-度量,
区,1,,,,4,,,,9,社会-,org
升,1,,,,4,,,,1,概念-,
午,1,,,,4,,,,4,数理-时空,time
友,1,,,,4,,,,2,社会-,org
天,1,,,,4,,,,9,天文-,
太,1,,,,4,,,,2,概念-,
夫,1,,,,4,,,,27,人-生理,family
少,1,,,,4,,,,14,概念-,
尤,1,,,,4,,,,9,概念-,
尺,1,,,,4,,,,2,数理-度量,
屯,1,,,,4,,,,13,社会-,org
巨,1,,,,4,,,,9,概念-,
巴,1,,,,4,,,,15,概念-,
开,1,,,,4,,,,3,,
心,1,,heart,xīn,4,竖心旁,必、忉、忌,忄 ⺗ 㣺,84,人-生理,mind
戈,1,62.0,halberd / spear,gē,4,,戊、戉、戌,,33,社会-,tool
戶,1,,door,hù,4,,戹、戼、戽,,6,社会-,housing
户,1,,door,hù,4,,戹、戼、戽,戸 戶,13,社会-,housing
手,1,,hand,shǒu,4,提手旁,才、扎、扐,扌 龵,18,人-生理,hand
支,1,65.0,branch,zhī,4,,攰、攱、攲,,13,概念-,
文,1,67.0,writing / script,wén,4,,斉、斌、斐,,16,社会-,culture
斗,1,68.0,dipper / fight,dǒu,4,,料、斚、斛,鬥,16,数理-度量,
斤,1,69.0,axe,jīn,4,,斥、斧、斨,,23,数理-度量,
方,1,70.0,square,fāng,4,,㫃、於、㫄,,27,数理-时空,location
无,1,,not / without,wú,4,,既、旣、旤,旡,3,天文-,
日,1,72.0,sun,rì,4,,旦、旨、早,,125,天文-日,
曰,1,73.0,say,yuē,4,,曲、曳、更,,14,人-生理,mouth
月,1,74.0,moon / meat,ròu / yuè,4,,有、朋、服,⺼,154,"天文-月, 人-生理",flesh
木,1,75.0,tree / wood,mù,4,木字旁,未、末、本,,324,天文-木,
欠,1,76.0,owe / lack,qiàn,4,欠字旁,次、欣、欥,,42,概念-,
止,1,77.0,stop,zhǐ,4,,正、此、步,,21,人-生理,foot
歹,1,,evil / death / bad,dǎi,4,,歺、死、歿,歺,17,概念-,
毋,1,,do not ,mǔ / wú,4,,母、每、毐,,1,概念-,
比,1,81.0,compare,bǐ,4,,毖、毗、毘,,16,概念-,
毛,1,82.0,fur / hair,máo,4,,毡、毣、毧,,22,人-生理,hair
氏,1,83.0,clan,shì,4,,氐、民、氓,,8,社会-,org
气,1,84.0,steam,qì,4,,氕、氘、氚,,24,天文-,
水,1,,water,shuǐ,4,三点水,永、氷、氾,氵 冫 氺 川,20,天文-水,
火,1,,fire,huǒ,4,火字旁,灰、灯、灶,灬,85,天文-火,
爪,1,,claw,zhǎo,4,受字头,爬、爭、爰,爫,3,动物-,
父,1,88.0,father,fù,4,,爸、爹、爺,,5,人-生理,family
片,1,91.0,slice,piàn,4,,版、牉、牌,爿 丬,6,数理-度量,
牙,1,92.0,tooth / fang,yá,4,,㸦、㸧、牚,,9,人-生理,tooth
牛,1,,cow,niú,4,牛字旁,牝、牟、牠,牜 ⺧,11,动物-,mammal
犬,1,,dog,quǎn,4,反犬旁,犮、犯、犰,犭,22,动物-,mammal
王,1,,jade,yù,4,,玻、瑪、璧,,113,社会-,order
瓦,1,98.0,tile,wǎ,4,,㼚、瓮、瓫,,16,社会-,housing
见,1,,see,jiàn,4,,,見,10,人-生理,eye
贝,1,,shell,bèi,4,,,貝,59,社会-,currency
车,1,,cart / vehicle,chē,4,,,車,53,社会-,transport
长,1,,long,cháng,4,,,長 镸,5,概念-,
韦,1,,soft leather,wéi,4,,,韋,8,社会-,clothing
风,1,,wind,fēng,4,,,風,5,天文-,
乍,0,,work,,5,,,,13,概念-,
刍,0,,,,5,,,,6,,
戋,0,,,,5,,,,8,概念-,
氺,0,,water,shuǐ,5,三点水,永、氷、氾,,0,天文-水,
疋,0,,foot / bolt of cloth,pǐ / shū,5,疋字底,疌、疏、疎,,7,社会-,foot
𤴔,0,,,,5,,,,0,人-生理,
疒,0,104.0,sick / sickness,chuáng / nè,5,病字旁,疔、疚、疝,,74,人-生理,health
癶,0,105.0,legs / footsteps,bō,5,登字头,癸、癹、発,,2,社会-,foot
罒,0,,net,wǎng,5,,,,34,社会-,tool
衤,0,,clothing,yī,5,,,,52,社会-,clothing
钅,0,,gold,jīn,5,,,,88,天文-金,
且,1,,,,5,,,,24,概念-,
丘,1,,,,5,,,,5,地理-,
丙,1,,,,5,,,,6,数理-天干,
业,1,,,,5,,,,5,社会-,education
东,1,,,,5,,,,6,数理-时空,location
乎,1,,,,5,,,,1,,
乐,1,,,,5,,,,2,社会-,music
令,1,,,,5,,,,21,社会-,order
兄,1,,,,5,,,,5,人-生理,family
兰,1,,,,5,,,,3,植物-,flower
冬,1,,,,5,,,,4,数理-时空,time
出,1,,,,5,,,,8,概念-,
击,1,,,,5,,,,1,社会-,military
包,1,,,,5,,,,15,社会-,tool
北,1,,,,5,,,,7,数理-时空,location
半,1,,,,5,,,,11,概念-,
占,1,,,,5,,,,21,社会-,
卡,1,,,,5,,,,0,,
去,1,,,,5,,,,11,概念-,
古,1,,,,5,,,,19,数理-时空,time
句,1,,,,5,,,,19,社会-,
另,1,,,,5,,,,2,,
只,1,,,,5,,,,10,数理-度量,
可,1,,,,5,,,,17,概念-,
台,1,,,,5,,,,17,社会-,tool
四,1,,,,5,,,,3,数理-计算,number
央,1,,,,5,,,,11,数理-时空,location
失,1,,,,5,,,,14,概念-,
头,1,,,,5,,,,2,人-生理,head
宁,1,,,,5,,,,5,概念-,
它,1,,,,5,,,,8,动物-,
尼,1,,,,5,,,,7,,
市,1,,,,5,,,,2,社会-,org
布,1,,,,5,,,,2,社会-,clothing
平,1,,,,5,,,,9,概念-,
必,1,,,,5,,,,15,概念-,
斥,1,,,,5,,,,2,,
旦,1,,,,5,,,,17,天文-,
未,1,,,,5,,,,10,概念-,
末,1,,,,5,,,,5,概念-,
本,1,,,,5,,,,2,天文-木,
术,1,,,,5,,,,4,社会-,technology
正,1,,,,5,,,,9,概念-,
母,1,, mother,mǔ / wú,5,,母、每、毐,毋 ⺟,6,人-生理,family
玄,1,95.0,profound,xuán,5,,玅、率、玈,,7,概念-,
玉,1,,jade,yù,5,,玻、瑪、璧,王 ⺩ 玊,5,地理-,jade
瓜,1,97.0,melon,guā,5,,瓝、瓞、瓟,,12,植物-,food
甘,1,99.0,sweet,gān,5,,甚、甜、甛,,12,人-生理,tongue
生,1,100.0,life,shēng,5,,甡、產、甥,,11,人-生理,living
用,1,101.0,use,yòng,5,,甩、甫、甬,甩,5,社会-,
田,1,102.0,field,tián,5,,由、甲、申,,51,社会-,farming
由,1,,follow / reason,yóu,5,,,,21,概念-,
甲,1,,,,5,,,,10,数理-天干,
申,1,,,,5,,,,9,概念-,
电,1,,,,5,,,,3,天文-,
白,1,106.0,white,bái,5,,百、皀、皁,,32,数理-颜色,
皮,1,107.0,skin,pí,5,,皯、皰、皴,,17,人-生理,skin
皿,1,108.0,dish,mǐn,5,,盂、盃、盅,,30,社会-,container
