元字,meaning,pinyin,phono,strokes,alias,n_freq,Fib_Num,频率,类别,子类别,sample,tag,is_zi,notes,term,id_kangxi
口,mouth / opening,kǒu,kou,3,,300,34,284,人-生理,mouth,哎、古、只、品,,1.0,,,30
讠,speech,yán,yan,2,言,102,34,102,人-生理,mouth,,,0.0,,,149
言,speech,yán,yan,7,訁 讠,36,34,36,人-生理,mouth,訂、訃、計,,1.0,,言字旁,149
鼻,nose,bí,bi,14,,3,34,3,人-生理,nose,鼽、鼾、齁,,1.0,,,209
皮,skin,pí,pi,5,,17,34,17,人-生理,skin,皯、皰、皴,M,1.0,,,107
舌,tongue,shé,she,6,,19,34,19,人-生理,tongue,舍、舐、舑,M,1.0,,,135
牙,tooth / fang,yá,ya,4,,9,34,9,人-生理,tooth,㸦、㸧、牚,M,1.0,,,92
齿,teeth,chǐ,chi,8,齒,7,34,7,人-生理,tooth,,,1.0,,,211
辶,walk / movement,chuò,chuo,3,,90,34,90,人-行,foot,,,0.0,,,162
足,foot,zú,zu,7,⻊ 疋 ⺪,76,34,76,人-行,foot,趴、趵、趷,,1.0,,足字旁,157
走,run / walk,zǒu,zou,7,⻌ ⻍ ⻎ 辶 辵 赱,23,34,23,人-行,foot,赳、赴、赶,,1.0,,,156
饣,eat / food,shí,shi,3,食,32,34,32,人-食,food,,,0.0,,,184
食,eat,shí,shi,9,飠 饣,9,34,9,人-食,food,飡、飢、飣,,1.0,,食字旁,184
