id,unicode,browser,sample,name
525,U+1F468 U+200D U+1F468 U+200D U+1F467,👨‍👨‍👧,,"family: man, man, girl"
526,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,👨‍👨‍👧‍👦,,"family: man, man, girl, boy"
527,U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,👨‍👨‍👦‍👦,,"family: man, man, boy, boy"
528,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,👨‍👨‍👧‍👧,,"family: man, man, girl, girl"
529,U+1F469 U+200D U+1F469 U+200D U+1F466,👩‍👩‍👦,,"family: woman, woman, boy"
530,U+1F469 U+200D U+1F469 U+200D U+1F467,👩‍👩‍👧,,"family: woman, woman, girl"
531,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,👩‍👩‍👧‍👦,,"family: woman, woman, girl, boy"
532,U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,👩‍👩‍👦‍👦,,"family: woman, woman, boy, boy"
533,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,👩‍👩‍👧‍👧,,"family: woman, woman, girl, girl"
534,U+1F468 U+200D U+1F466,👨‍👦,,"family: man, boy"
535,U+1F468 U+200D U+1F466 U+200D U+1F466,👨‍👦‍👦,,"family: man, boy, boy"
536,U+1F468 U+200D U+1F467,👨‍👧,,"family: man, girl"
537,U+1F468 U+200D U+1F467 U+200D U+1F466,👨‍👧‍👦,,"family: man, girl, boy"
538,U+1F468 U+200D U+1F467 U+200D U+1F467,👨‍👧‍👧,,"family: man, girl, girl"
539,U+1F469 U+200D U+1F466,👩‍👦,,"family: woman, boy"
540,U+1F469 U+200D U+1F466 U+200D U+1F466,👩‍👦‍👦,,"family: woman, boy, boy"
541,U+1F469 U+200D U+1F467,👩‍👧,,"family: woman, girl"
542,U+1F469 U+200D U+1F467 U+200D U+1F466,👩‍👧‍👦,,"family: woman, girl, boy"
543,U+1F469 U+200D U+1F467 U+200D U+1F467,👩‍👧‍👧,,"family: woman, girl, girl"
544,U+1F5E3,🗣,,speaking head
545,U+1F464,👤,,bust in silhouette
546,U+1F465,👥,,busts in silhouette
547,U+1FAC2,🫂,,people hugging
548,U+1F46A,👪,,family
549,U+1F9D1 U+200D U+1F9D1 U+200D U+1F9D2,🧑‍🧑‍🧒,,"⊛ family: adult, adult, child"
550,U+1F9D1 U+200D U+1F9D1 U+200D U+1F9D2 U+200D U+1F9D2,🧑‍🧑‍🧒‍🧒,,"⊛ family: adult, adult, child, child"
551,U+1F9D1 U+200D U+1F9D2,🧑‍🧒,,"⊛ family: adult, child"
552,U+1F9D1 U+200D U+1F9D2 U+200D U+1F9D2,🧑‍🧒‍🧒,,"⊛ family: adult, child, child"
553,U+1F463,👣,,footprints
554,U+1F9B0,🦰,,red hair
555,U+1F9B1,🦱,,curly hair
556,U+1F9B3,🦳,,white hair
557,U+1F9B2,🦲,,bald
558,U+1F435,🐵,,monkey face
559,U+1F412,🐒,,monkey
560,U+1F98D,🦍,,gorilla
561,U+1F9A7,🦧,,orangutan
562,U+1F436,🐶,,dog face
563,U+1F415,🐕,,dog
564,U+1F9AE,🦮,,guide dog
565,U+1F415 U+200D U+1F9BA,🐕‍🦺,,service dog
566,U+1F429,🐩,,poodle
567,U+1F43A,🐺,,wolf
568,U+1F98A,🦊,,fox
569,U+1F99D,🦝,,raccoon
570,U+1F431,🐱,,cat face
571,U+1F408,🐈,,cat
572,U+1F408 U+200D U+2B1B,🐈‍⬛,,black cat
573,U+1F981,🦁,,lion
574,U+1F42F,🐯,,tiger face
575,U+1F405,🐅,,tiger
576,U+1F406,🐆,,leopard
577,U+1F434,🐴,,horse face
578,U+1FACE,🫎,,moose
579,U+1FACF,🫏,,donkey
580,U+1F40E,🐎,,horse
581,U+1F984,🦄,,unicorn
582,U+1F993,🦓,,zebra
583,U+1F98C,🦌,,deer
584,U+1F9AC,🦬,,bison
585,U+1F42E,🐮,,cow face
586,U+1F402,🐂,,ox
587,U+1F403,🐃,,water buffalo
588,U+1F404,🐄,,cow
589,U+1F437,🐷,,pig face
590,U+1F416,🐖,,pig
591,U+1F417,🐗,,boar
592,U+1F43D,🐽,,pig nose
593,U+1F40F,🐏,,ram
594,U+1F411,🐑,,ewe
595,U+1F410,🐐,,goat
596,U+1F42A,🐪,,camel
597,U+1F42B,🐫,,two-hump camel
598,U+1F999,🦙,,llama
599,U+1F992,🦒,,giraffe
600,U+1F418,🐘,,elephant
601,U+1F9A3,🦣,,mammoth
602,U+1F98F,🦏,,rhinoceros
603,U+1F99B,🦛,,hippopotamus
604,U+1F42D,🐭,,mouse face
605,U+1F401,🐁,,mouse
606,U+1F400,🐀,,rat
607,U+1F439,🐹,,hamster
608,U+1F430,🐰,,rabbit face
609,U+1F407,🐇,,rabbit
610,U+1F43F,🐿,,chipmunk
611,U+1F9AB,🦫,,beaver
612,U+1F994,🦔,,hedgehog
613,U+1F987,🦇,,bat
614,U+1F43B,🐻,,bear
615,U+1F43B U+200D U+2744 U+FE0F,🐻‍❄️,,polar bear
616,U+1F428,🐨,,koala
617,U+1F43C,🐼,,panda
618,U+1F9A5,🦥,,sloth
619,U+1F9A6,🦦,,otter
620,U+1F9A8,🦨,,skunk
621,U+1F998,🦘,,kangaroo
622,U+1F9A1,🦡,,badger
623,U+1F43E,🐾,,paw prints
624,U+1F983,🦃,,turkey
625,U+1F414,🐔,,chicken
626,U+1F413,🐓,,rooster
627,U+1F423,🐣,,hatching chick
628,U+1F424,🐤,,baby chick
629,U+1F425,🐥,,front-facing baby chick
630,U+1F426,🐦,,bird
631,U+1F427,🐧,,penguin
632,U+1F54A,🕊,,dove
633,U+1F985,🦅,,eagle
634,U+1F986,🦆,,duck
635,U+1F9A2,🦢,,swan
636,U+1F989,🦉,,owl
637,U+1F9A4,🦤,,dodo
638,U+1FAB6,🪶,,feather
639,U+1F9A9,🦩,,flamingo
640,U+1F99A,🦚,,peacock
641,U+1F99C,🦜,,parrot
642,U+1FABD,🪽,,wing
643,U+1F426 U+200D U+2B1B,🐦‍⬛,,black bird
644,U+1FABF,🪿,,goose
645,U+1F426 U+200D U+1F525,🐦‍🔥,,⊛ phoenix
646,U+1F438,🐸,,frog
647,U+1F40A,🐊,,crocodile
648,U+1F422,🐢,,turtle
649,U+1F98E,🦎,,lizard
650,U+1F40D,🐍,,snake
651,U+1F432,🐲,,dragon face
652,U+1F409,🐉,,dragon
653,U+1F995,🦕,,sauropod
654,U+1F996,🦖,,T-Rex
655,U+1F433,🐳,,spouting whale
656,U+1F40B,🐋,,whale
657,U+1F42C,🐬,,dolphin
658,U+1F9AD,🦭,,seal
659,U+1F41F,🐟,,fish
660,U+1F420,🐠,,tropical fish
661,U+1F421,🐡,,blowfish
662,U+1F988,🦈,,shark
663,U+1F419,🐙,,octopus
664,U+1F41A,🐚,,spiral shell
665,U+1FAB8,🪸,,coral
666,U+1FABC,🪼,,jellyfish
667,U+1F40C,🐌,,snail
668,U+1F98B,🦋,,butterfly
669,U+1F41B,🐛,,bug
670,U+1F41C,🐜,,ant
671,U+1F41D,🐝,,honeybee
672,U+1FAB2,🪲,,beetle
673,U+1F41E,🐞,,lady beetle
674,U+1F997,🦗,,cricket
675,U+1FAB3,🪳,,cockroach
676,U+1F577,🕷,,spider
677,U+1F578,🕸,,spider web
678,U+1F982,🦂,,scorpion
679,U+1F99F,🦟,,mosquito
680,U+1FAB0,🪰,,fly
681,U+1FAB1,🪱,,worm
682,U+1F9A0,🦠,,microbe
683,U+1F490,💐,,bouquet
684,U+1F338,🌸,,cherry blossom
685,U+1F4AE,💮,,white flower
686,U+1FAB7,🪷,,lotus
687,U+1F3F5,🏵,,rosette
688,U+1F339,🌹,,rose
689,U+1F940,🥀,,wilted flower
690,U+1F33A,🌺,,hibiscus
691,U+1F33B,🌻,,sunflower
692,U+1F33C,🌼,,blossom
693,U+1F337,🌷,,tulip
694,U+1FABB,🪻,,hyacinth
695,U+1F331,🌱,,seedling
696,U+1FAB4,🪴,,potted plant
697,U+1F332,🌲,,evergreen tree
698,U+1F333,🌳,,deciduous tree
699,U+1F334,🌴,,palm tree
700,U+1F335,🌵,,cactus
701,U+1F33E,🌾,,sheaf of rice
702,U+1F33F,🌿,,herb
703,U+2618,☘,,shamrock
704,U+1F340,🍀,,four leaf clover
705,U+1F341,🍁,,maple leaf
706,U+1F342,🍂,,fallen leaf
707,U+1F343,🍃,,leaf fluttering in wind
708,U+1FAB9,🪹,,empty nest
709,U+1FABA,🪺,,nest with eggs
710,U+1F344,🍄,,mushroom
711,U+1F347,🍇,,grapes
712,U+1F348,🍈,,melon
713,U+1F349,🍉,,watermelon
714,U+1F34A,🍊,,tangerine
715,U+1F34B,🍋,,lemon
716,U+1F34B U+200D U+1F7E9,🍋‍🟩,,⊛ lime
717,U+1F34C,🍌,,banana
718,U+1F34D,🍍,,pineapple
719,U+1F96D,🥭,,mango
720,U+1F34E,🍎,,red apple
721,U+1F34F,🍏,,green apple
722,U+1F350,🍐,,pear
723,U+1F351,🍑,,peach
724,U+1F352,🍒,,cherries
725,U+1F353,🍓,,strawberry
726,U+1FAD0,🫐,,blueberries
727,U+1F95D,🥝,,kiwi fruit
728,U+1F345,🍅,,tomato
729,U+1FAD2,🫒,,olive
730,U+1F965,🥥,,coconut
731,U+1F951,🥑,,avocado
732,U+1F346,🍆,,eggplant
733,U+1F954,🥔,,potato
734,U+1F955,🥕,,carrot
735,U+1F33D,🌽,,ear of corn
736,U+1F336,🌶,,hot pepper
737,U+1FAD1,🫑,,bell pepper
738,U+1F952,🥒,,cucumber
739,U+1F96C,🥬,,leafy green
740,U+1F966,🥦,,broccoli
741,U+1F9C4,🧄,,garlic
742,U+1F9C5,🧅,,onion
743,U+1F95C,🥜,,peanuts
744,U+1FAD8,🫘,,beans
745,U+1F330,🌰,,chestnut
746,U+1FADA,🫚,,ginger root
747,U+1FADB,🫛,,pea pod
748,U+1F344 U+200D U+1F7EB,🍄‍🟫,,⊛ brown mushroom
749,U+1F35E,🍞,,bread
750,U+1F950,🥐,,croissant
751,U+1F956,🥖,,baguette bread
752,U+1FAD3,🫓,,flatbread
753,U+1F968,🥨,,pretzel
754,U+1F96F,🥯,,bagel
755,U+1F95E,🥞,,pancakes
756,U+1F9C7,🧇,,waffle
757,U+1F9C0,🧀,,cheese wedge
758,U+1F356,🍖,,meat on bone
759,U+1F357,🍗,,poultry leg
760,U+1F969,🥩,,cut of meat
761,U+1F953,🥓,,bacon
762,U+1F354,🍔,,hamburger
763,U+1F35F,🍟,,french fries
764,U+1F355,🍕,,pizza
765,U+1F32D,🌭,,hot dog
766,U+1F96A,🥪,,sandwich
767,U+1F32E,🌮,,taco
768,U+1F32F,🌯,,burrito
769,U+1FAD4,🫔,,tamale
770,U+1F959,🥙,,stuffed flatbread
771,U+1F9C6,🧆,,falafel
772,U+1F95A,🥚,,egg
773,U+1F373,🍳,,cooking
774,U+1F958,🥘,,shallow pan of food
775,U+1F372,🍲,,pot of food
776,U+1FAD5,🫕,,fondue
777,U+1F963,🥣,,bowl with spoon
778,U+1F957,🥗,,green salad
779,U+1F37F,🍿,,popcorn
780,U+1F9C8,🧈,,butter
781,U+1F9C2,🧂,,salt
782,U+1F96B,🥫,,canned food
783,U+1F371,🍱,,bento box
784,U+1F358,🍘,,rice cracker
785,U+1F359,🍙,,rice ball
786,U+1F35A,🍚,,cooked rice
787,U+1F35B,🍛,,curry rice
788,U+1F35C,🍜,,steaming bowl
789,U+1F35D,🍝,,spaghetti
790,U+1F360,🍠,,roasted sweet potato
791,U+1F362,🍢,,oden
792,U+1F363,🍣,,sushi
793,U+1F364,🍤,,fried shrimp
794,U+1F365,🍥,,fish cake with swirl
795,U+1F96E,🥮,,moon cake
796,U+1F361,🍡,,dango
797,U+1F95F,🥟,,dumpling
798,U+1F960,🥠,,fortune cookie
799,U+1F961,🥡,,takeout box
800,U+1F980,🦀,,crab
801,U+1F99E,🦞,,lobster
802,U+1F990,🦐,,shrimp
803,U+1F991,🦑,,squid
804,U+1F9AA,🦪,,oyster
805,U+1F366,🍦,,soft ice cream
806,U+1F367,🍧,,shaved ice
807,U+1F368,🍨,,ice cream
808,U+1F369,🍩,,doughnut
809,U+1F36A,🍪,,cookie
810,U+1F382,🎂,,birthday cake
811,U+1F370,🍰,,shortcake
812,U+1F9C1,🧁,,cupcake
813,U+1F967,🥧,,pie
814,U+1F36B,🍫,,chocolate bar
815,U+1F36C,🍬,,candy
816,U+1F36D,🍭,,lollipop
817,U+1F36E,🍮,,custard
818,U+1F36F,🍯,,honey pot
819,U+1F37C,🍼,,baby bottle
820,U+1F95B,🥛,,glass of milk
821,U+2615,☕,,hot beverage
822,U+1FAD6,🫖,,teapot
823,U+1F375,🍵,,teacup without handle
824,U+1F376,🍶,,sake
825,U+1F37E,🍾,,bottle with popping cork
826,U+1F377,🍷,,wine glass
827,U+1F378,🍸,,cocktail glass
828,U+1F379,🍹,,tropical drink
829,U+1F37A,🍺,,beer mug
830,U+1F37B,🍻,,clinking beer mugs
831,U+1F942,🥂,,clinking glasses
832,U+1F943,🥃,,tumbler glass
833,U+1FAD7,🫗,,pouring liquid
834,U+1F964,🥤,,cup with straw
835,U+1F9CB,🧋,,bubble tea
836,U+1F9C3,🧃,,beverage box
837,U+1F9C9,🧉,,mate
838,U+1F9CA,🧊,,ice
839,U+1F962,🥢,,chopsticks
840,U+1F37D,🍽,,fork and knife with plate
841,U+1F374,🍴,,fork and knife
842,U+1F944,🥄,,spoon
843,U+1F52A,🔪,,kitchen knife
844,U+1FAD9,🫙,,jar
845,U+1F3FA,🏺,,amphora
846,U+1F30D,🌍,,globe showing Europe-Africa
847,U+1F30E,🌎,,globe showing Americas
848,U+1F30F,🌏,,globe showing Asia-Australia
849,U+1F310,🌐,,globe with meridians
850,U+1F5FA,🗺,,world map
851,U+1F5FE,🗾,,map of Japan
852,U+1F9ED,🧭,,compass
853,U+1F3D4,🏔,,snow-capped mountain
854,U+26F0,⛰,,mountain
855,U+1F30B,🌋,,volcano
856,U+1F5FB,🗻,,mount fuji
857,U+1F3D5,🏕,,camping
858,U+1F3D6,🏖,,beach with umbrella
859,U+1F3DC,🏜,,desert
860,U+1F3DD,🏝,,desert island
861,U+1F3DE,🏞,,national park
862,U+1F3DF,🏟,,stadium
863,U+1F3DB,🏛,,classical building
864,U+1F3D7,🏗,,building construction
865,U+1F9F1,🧱,,brick
866,U+1FAA8,🪨,,rock
867,U+1FAB5,🪵,,wood
868,U+1F6D6,🛖,,hut
869,U+1F3D8,🏘,,houses
870,U+1F3DA,🏚,,derelict house
871,U+1F3E0,🏠,,house
872,U+1F3E1,🏡,,house with garden
873,U+1F3E2,🏢,,office building
874,U+1F3E3,🏣,,Japanese post office
875,U+1F3E4,🏤,,post office
876,U+1F3E5,🏥,,hospital
877,U+1F3E6,🏦,,bank
878,U+1F3E8,🏨,,hotel
879,U+1F3E9,🏩,,love hotel
880,U+1F3EA,🏪,,convenience store
881,U+1F3EB,🏫,,school
882,U+1F3EC,🏬,,department store
883,U+1F3ED,🏭,,factory
884,U+1F3EF,🏯,,Japanese castle
885,U+1F3F0,🏰,,castle
886,U+1F492,💒,,wedding
887,U+1F5FC,🗼,,Tokyo tower
888,U+1F5FD,🗽,,Statue of Liberty
889,U+26EA,⛪,,church
890,U+1F54C,🕌,,mosque
891,U+1F6D5,🛕,,hindu temple
892,U+1F54D,🕍,,synagogue
893,U+26E9,⛩,,shinto shrine
894,U+1F54B,🕋,,kaaba
895,U+26F2,⛲,,fountain
896,U+26FA,⛺,,tent
897,U+1F301,🌁,,foggy
898,U+1F303,🌃,,night with stars
899,U+1F3D9,🏙,,cityscape
900,U+1F304,🌄,,sunrise over mountains
901,U+1F305,🌅,,sunrise
902,U+1F306,🌆,,cityscape at dusk
903,U+1F307,🌇,,sunset
904,U+1F309,🌉,,bridge at night
905,U+2668,♨,,hot springs
906,U+1F3A0,🎠,,carousel horse
907,U+1F6DD,🛝,,playground slide
908,U+1F3A1,🎡,,ferris wheel
909,U+1F3A2,🎢,,roller coaster
910,U+1F488,💈,,barber pole
911,U+1F3AA,🎪,,circus tent
912,U+1F682,🚂,,locomotive
913,U+1F683,🚃,,railway car
914,U+1F684,🚄,,high-speed train
915,U+1F685,🚅,,bullet train
916,U+1F686,🚆,,train
917,U+1F687,🚇,,metro
918,U+1F688,🚈,,light rail
919,U+1F689,🚉,,station
920,U+1F68A,🚊,,tram
921,U+1F69D,🚝,,monorail
922,U+1F69E,🚞,,mountain railway
923,U+1F68B,🚋,,tram car
924,U+1F68C,🚌,,bus
925,U+1F68D,🚍,,oncoming bus
926,U+1F68E,🚎,,trolleybus
927,U+1F690,🚐,,minibus
928,U+1F691,🚑,,ambulance
929,U+1F692,🚒,,fire engine
930,U+1F693,🚓,,police car
931,U+1F694,🚔,,oncoming police car
932,U+1F695,🚕,,taxi
933,U+1F696,🚖,,oncoming taxi
934,U+1F697,🚗,,automobile
935,U+1F698,🚘,,oncoming automobile
936,U+1F699,🚙,,sport utility vehicle
937,U+1F6FB,🛻,,pickup truck
938,U+1F69A,🚚,,delivery truck
939,U+1F69B,🚛,,articulated lorry
940,U+1F69C,🚜,,tractor
941,U+1F3CE,🏎,,racing car
942,U+1F3CD,🏍,,motorcycle
943,U+1F6F5,🛵,,motor scooter
944,U+1F9BD,🦽,,manual wheelchair
945,U+1F9BC,🦼,,motorized wheelchair
946,U+1F6FA,🛺,,auto rickshaw
947,U+1F6B2,🚲,,bicycle
948,U+1F6F4,🛴,,kick scooter
949,U+1F6F9,🛹,,skateboard
950,U+1F6FC,🛼,,roller skate
951,U+1F68F,🚏,,bus stop
952,U+1F6E3,🛣,,motorway
953,U+1F6E4,🛤,,railway track
954,U+1F6E2,🛢,,oil drum
955,U+26FD,⛽,,fuel pump
956,U+1F6DE,🛞,,wheel
957,U+1F6A8,🚨,,police car light
958,U+1F6A5,🚥,,horizontal traffic light
959,U+1F6A6,🚦,,vertical traffic light
960,U+1F6D1,🛑,,stop sign
961,U+1F6A7,🚧,,construction
962,U+2693,⚓,,anchor
963,U+1F6DF,🛟,,ring buoy
964,U+26F5,⛵,,sailboat
965,U+1F6F6,🛶,,canoe
966,U+1F6A4,🚤,,speedboat
967,U+1F6F3,🛳,,passenger ship
968,U+26F4,⛴,,ferry
969,U+1F6E5,🛥,,motor boat
970,U+1F6A2,🚢,,ship
971,U+2708,✈,,airplane
972,U+1F6E9,🛩,,small airplane
973,U+1F6EB,🛫,,airplane departure
974,U+1F6EC,🛬,,airplane arrival
975,U+1FA82,🪂,,parachute
976,U+1F4BA,💺,,seat
977,U+1F681,🚁,,helicopter
978,U+1F69F,🚟,,suspension railway
979,U+1F6A0,🚠,,mountain cableway
980,U+1F6A1,🚡,,aerial tramway
981,U+1F6F0,🛰,,satellite
982,U+1F680,🚀,,rocket
983,U+1F6F8,🛸,,flying saucer
984,U+1F6CE,🛎,,bellhop bell
985,U+1F9F3,🧳,,luggage
986,U+231B,⌛,,hourglass done
987,U+23F3,⏳,,hourglass not done
988,U+231A,⌚,,watch
989,U+23F0,⏰,,alarm clock
990,U+23F1,⏱,,stopwatch
991,U+23F2,⏲,,timer clock
992,U+1F570,🕰,,mantelpiece clock
993,U+1F55B,🕛,,twelve o’clock
994,U+1F567,🕧,,twelve-thirty
995,U+1F550,🕐,,one o’clock
996,U+1F55C,🕜,,one-thirty
997,U+1F551,🕑,,two o’clock
998,U+1F55D,🕝,,two-thirty
999,U+1F552,🕒,,three o’clock
1000,U+1F55E,🕞,,three-thirty
1001,U+1F553,🕓,,four o’clock
1002,U+1F55F,🕟,,four-thirty
1003,U+1F554,🕔,,five o’clock
1004,U+1F560,🕠,,five-thirty
1005,U+1F555,🕕,,six o’clock
1006,U+1F561,🕡,,six-thirty
1007,U+1F556,🕖,,seven o’clock
1008,U+1F562,🕢,,seven-thirty
1009,U+1F557,🕗,,eight o’clock
1010,U+1F563,🕣,,eight-thirty
1011,U+1F558,🕘,,nine o’clock
1012,U+1F564,🕤,,nine-thirty
1013,U+1F559,🕙,,ten o’clock
1014,U+1F565,🕥,,ten-thirty
1015,U+1F55A,🕚,,eleven o’clock
1016,U+1F566,🕦,,eleven-thirty
1017,U+1F311,🌑,,new moon
1018,U+1F312,🌒,,waxing crescent moon
1019,U+1F313,🌓,,first quarter moon
1020,U+1F314,🌔,,waxing gibbous moon
1021,U+1F315,🌕,,full moon
1022,U+1F316,🌖,,waning gibbous moon
1023,U+1F317,🌗,,last quarter moon
1024,U+1F318,🌘,,waning crescent moon
1025,U+1F319,🌙,,crescent moon
1026,U+1F31A,🌚,,new moon face
1027,U+1F31B,🌛,,first quarter moon face
1028,U+1F31C,🌜,,last quarter moon face
1029,U+1F321,🌡,,thermometer
1030,U+2600,☀,,sun
1031,U+1F31D,🌝,,full moon face
1032,U+1F31E,🌞,,sun with face
1033,U+1FA90,🪐,,ringed planet
1034,U+2B50,⭐,,star
1035,U+1F31F,🌟,,glowing star
1036,U+1F320,🌠,,shooting star
1037,U+1F30C,🌌,,milky way
1038,U+2601,☁,,cloud
1039,U+26C5,⛅,,sun behind cloud
1040,U+26C8,⛈,,cloud with lightning and rain
1041,U+1F324,🌤,,sun behind small cloud
1042,U+1F325,🌥,,sun behind large cloud
1043,U+1F326,🌦,,sun behind rain cloud
1044,U+1F327,🌧,,cloud with rain
1045,U+1F328,🌨,,cloud with snow
1046,U+1F329,🌩,,cloud with lightning
1047,U+1F32A,🌪,,tornado
1048,U+1F32B,🌫,,fog
1049,U+1F32C,🌬,,wind face
1050,U+1F300,🌀,,cyclone
1051,U+1F308,🌈,,rainbow
1052,U+1F302,🌂,,closed umbrella
1053,U+2602,☂,,umbrella
1054,U+2614,☔,,umbrella with rain drops
1055,U+26F1,⛱,,umbrella on ground
1056,U+26A1,⚡,,high voltage
1057,U+2744,❄,,snowflake
1058,U+2603,☃,,snowman
1059,U+26C4,⛄,,snowman without snow
1060,U+2604,☄,,comet
1061,U+1F525,🔥,,fire
1062,U+1F4A7,💧,,droplet
1063,U+1F30A,🌊,,water wave
1064,U+1F383,🎃,,jack-o-lantern
1065,U+1F384,🎄,,Christmas tree
1066,U+1F386,🎆,,fireworks
1067,U+1F387,🎇,,sparkler
1068,U+1F9E8,🧨,,firecracker
1069,U+2728,✨,,sparkles
1070,U+1F388,🎈,,balloon
1071,U+1F389,🎉,,party popper
1072,U+1F38A,🎊,,confetti ball
1073,U+1F38B,🎋,,tanabata tree
1074,U+1F38D,🎍,,pine decoration
1075,U+1F38E,🎎,,Japanese dolls
1076,U+1F38F,🎏,,carp streamer
1077,U+1F390,🎐,,wind chime
1078,U+1F391,🎑,,moon viewing ceremony
1079,U+1F9E7,🧧,,red envelope
1080,U+1F380,🎀,,ribbon
1081,U+1F381,🎁,,wrapped gift
1082,U+1F397,🎗,,reminder ribbon
1083,U+1F39F,🎟,,admission tickets
1084,U+1F3AB,🎫,,ticket
1085,U+1F396,🎖,,military medal
1086,U+1F3C6,🏆,,trophy
1087,U+1F3C5,🏅,,sports medal
1088,U+1F947,🥇,,1st place medal
1089,U+1F948,🥈,,2nd place medal
1090,U+1F949,🥉,,3rd place medal
1091,U+26BD,⚽,,soccer ball
1092,U+26BE,⚾,,baseball
1093,U+1F94E,🥎,,softball
1094,U+1F3C0,🏀,,basketball
1095,U+1F3D0,🏐,,volleyball
1096,U+1F3C8,🏈,,american football
1097,U+1F3C9,🏉,,rugby football
1098,U+1F3BE,🎾,,tennis
1099,U+1F94F,🥏,,flying disc
1100,U+1F3B3,🎳,,bowling
1101,U+1F3CF,🏏,,cricket game
1102,U+1F3D1,🏑,,field hockey
1103,U+1F3D2,🏒,,ice hockey
1104,U+1F94D,🥍,,lacrosse
1105,U+1F3D3,🏓,,ping pong
1106,U+1F3F8,🏸,,badminton
1107,U+1F94A,🥊,,boxing glove
1108,U+1F94B,🥋,,martial arts uniform
1109,U+1F945,🥅,,goal net
1110,U+26F3,⛳,,flag in hole
1111,U+26F8,⛸,,ice skate
1112,U+1F3A3,🎣,,fishing pole
1113,U+1F93F,🤿,,diving mask
1114,U+1F3BD,🎽,,running shirt
1115,U+1F3BF,🎿,,skis
1116,U+1F6F7,🛷,,sled
1117,U+1F94C,🥌,,curling stone
1118,U+1F3AF,🎯,,bullseye
1119,U+1FA80,🪀,,yo-yo
1120,U+1FA81,🪁,,kite
1121,U+1F52B,🔫,,water pistol
1122,U+1F3B1,🎱,,pool 8 ball
1123,U+1F52E,🔮,,crystal ball
1124,U+1FA84,🪄,,magic wand
1125,U+1F3AE,🎮,,video game
1126,U+1F579,🕹,,joystick
1127,U+1F3B0,🎰,,slot machine
1128,U+1F3B2,🎲,,game die
1129,U+1F9E9,🧩,,puzzle piece
1130,U+1F9F8,🧸,,teddy bear
1131,U+1FA85,🪅,,piñata
1132,U+1FAA9,🪩,,mirror ball
1133,U+1FA86,🪆,,nesting dolls
1134,U+2660,♠,,spade suit
1135,U+2665,♥,,heart suit
1136,U+2666,♦,,diamond suit
1137,U+2663,♣,,club suit
1138,U+265F,♟,,chess pawn
1139,U+1F0CF,🃏,,joker
1140,U+1F004,🀄,,mahjong red dragon
1141,U+1F3B4,🎴,,flower playing cards
1142,U+1F3AD,🎭,,performing arts
1143,U+1F5BC,🖼,,framed picture
1144,U+1F3A8,🎨,,artist palette
1145,U+1F9F5,🧵,,thread
1146,U+1FAA1,🪡,,sewing needle
1147,U+1F9F6,🧶,,yarn
1148,U+1FAA2,🪢,,knot
1149,U+1F453,👓,,glasses
1150,U+1F576,🕶,,sunglasses
1151,U+1F97D,🥽,,goggles
1152,U+1F97C,🥼,,lab coat
1153,U+1F9BA,🦺,,safety vest
1154,U+1F454,👔,,necktie
1155,U+1F455,👕,,t-shirt
1156,U+1F456,👖,,jeans
1157,U+1F9E3,🧣,,scarf
1158,U+1F9E4,🧤,,gloves
1159,U+1F9E5,🧥,,coat
1160,U+1F9E6,🧦,,socks
1161,U+1F457,👗,,dress
1162,U+1F458,👘,,kimono
1163,U+1F97B,🥻,,sari
1164,U+1FA71,🩱,,one-piece swimsuit
1165,U+1FA72,🩲,,briefs
1166,U+1FA73,🩳,,shorts
1167,U+1F459,👙,,bikini
1168,U+1F45A,👚,,woman’s clothes
1169,U+1FAAD,🪭,,folding hand fan
1170,U+1F45B,👛,,purse
1171,U+1F45C,👜,,handbag
1172,U+1F45D,👝,,clutch bag
1173,U+1F6CD,🛍,,shopping bags
1174,U+1F392,🎒,,backpack
1175,U+1FA74,🩴,,thong sandal
1176,U+1F45E,👞,,man’s shoe
1177,U+1F45F,👟,,running shoe
1178,U+1F97E,🥾,,hiking boot
1179,U+1F97F,🥿,,flat shoe
1180,U+1F460,👠,,high-heeled shoe
1181,U+1F461,👡,,woman’s sandal
1182,U+1FA70,🩰,,ballet shoes
1183,U+1F462,👢,,woman’s boot
1184,U+1FAAE,🪮,,hair pick
1185,U+1F451,👑,,crown
1186,U+1F452,👒,,woman’s hat
1187,U+1F3A9,🎩,,top hat
1188,U+1F393,🎓,,graduation cap
1189,U+1F9E2,🧢,,billed cap
1190,U+1FA96,🪖,,military helmet
1191,U+26D1,⛑,,rescue worker’s helmet
1192,U+1F4FF,📿,,prayer beads
1193,U+1F484,💄,,lipstick
1194,U+1F48D,💍,,ring
1195,U+1F48E,💎,,gem stone
1196,U+1F507,🔇,,muted speaker
1197,U+1F508,🔈,,speaker low volume
1198,U+1F509,🔉,,speaker medium volume
1199,U+1F50A,🔊,,speaker high volume
1200,U+1F4E2,📢,,loudspeaker
1201,U+1F4E3,📣,,megaphone
1202,U+1F4EF,📯,,postal horn
1203,U+1F514,🔔,,bell
1204,U+1F515,🔕,,bell with slash
