link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
LD-M,2,逾,12280,,,辶,,俞,,,,,,,,𨒋進也。从辵俞聲。《周書》曰：“無敢昬逾。”,Y,1114,in HSK,
LD-M,2,遁,3256,,,辶,,盾,,,,,,,,遷也。一曰逃也。从辵盾聲。,Y,1138,,
LD-M,2,遂,9727,,,辶,,㒸,,,,,,,,亾也。从辵㒸聲。,Y,1174,in HSK,
LD-M,2,遄,2479,,,辶,,耑,,,,,,,,往來𢿙也。从辵耑聲。《易》曰：“㠯事遄往。”,Y,1119,,
LD-M,2,遇,12371,,,辶,,禺,,,,,,,,逢也。从辵禺聲。,Y,1126,in HSK,
LD-M,2,遍,1752,,,辶,,扁,,,,,,,2024-01-27 18:42:31,,Y,,from HSK,everywhere/all over/classifier for actions: one time
LD-M,2,遏,3348,,,辶,,曷,,,,,,,,微止也。从辵曷聲。讀若桑蟲之蝎。,Y,1184,in HSK,
LD-M,2,遐,10865,,,辶,,叚,,,,,,,,遠也。从辵叚聲。,Y,1214,,
LD-M,2,遑,4717,,,辶,,皇,,,,,,,,急也。从辵皇聲。或从彳。,Y,1211,,
LD-M,2,道,2893,,,辶,,首,,,,,,,2024-01-20 23:24:33,所行道也。从辵从𩠐。一達謂之道。,Y,1204,in HSK,
LD-M,2,達,13556,,,辶,,羍,,,,,,,2024-01-20 18:12:40,行不相遇也。从辵羍聲。《詩》曰：“挑兮達兮。”,Y,,,
LD-M,2,遗,11853,,,辶,,贵,,,,,,,2024-01-27 17:54:21,,Y,,from HSK,(bound form) to leave behind
LD-M,2,遘,4035,,,辶,,冓,,,,,,,,遇也。从辵冓聲。,Y,1128,,
LD-M,2,遝,9820,,,辶,,眔,,,,,,,,䢔也。从辵眔聲。,Y,1115,,
LD-M,2,遣,38,,,辶,,𠳋,,,,,,,,縱也。从辵𠳋聲。,Y,1144,in HSK,
LD-M,2,遥,11713,,,辶,,䍃,,,,,,,,逍遥也。又，遠也。从辵䍃聲。,Y,1221,in HSK,
