link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
L-R,2,蚔,8293,,虫,,,,,,氏,,,,,䖯也。从虫氏聲。,Y,8776,,
L-R,2,蚖,12431,,虫,,,,,,元,,,,,榮蚖，蛇醫，以注鳴者。从虫元聲。,Y,8761,,
L-R,2,蚦,8813,,虫,,,,,,冄,,,,,大蛇。可食。从虫冄聲。,Y,8744,,
L-R,2,蚨,3699,,虫,,,,,,夫,,,,,青蚨，水蟲，可還錢。从虫夫聲。,Y,8868,,
L-R,2,蚳,2318,,虫,,,,,,氐,,,,,螘子也。从虫氐聲。《周禮》有蚳醢。讀若祁。,Y,8793,,
L-R,2,蛁,3045,,虫,,,,,,召,,,,,蟲也。从虫召聲。,Y,8750,,
L-R,2,蛄,4051,,虫,,,,,,古,,,,,螻蛄也。从虫古聲。,Y,8789,,
L-R,2,蛅,8815,,虫,,,,,,占,,,,,蛅斯，墨也。从虫占聲。,Y,8805,,
L-R,2,蛉,6741,,虫,,,,,,令,,,,,蜻蛉也。从虫令聲。一名桑桹。,Y,8831,in HSK,
L-R,2,蛓,2600,,虫,,,,,,𢦔,,,,,毛蟲也。从虫𢦔聲。,Y,8774,,
L-R,2,蛔,4765,,虫,,,,,,回,,,,2024-01-28 12:57:02,,Y,,from HSK,roundworm/Ascaris lumbricoides
L-R,2,蛘,11660,,虫,,,,,,羊,,,,,搔蛘也。从虫羊聲。,Y,8849,,
L-R,2,蛚,6660,,虫,,,,,,列,,,,,蜻蛚也。从虫列聲。,Y,8829,,
L-R,2,蛟,5291,,虫,,,,,,交,,,,,龍之屬也。池魚滿三千六百，蛟來爲之長，能率魚飛。置笱水中，卽蛟去。从虫交聲。,Y,8851,,
L-R,2,蛣,5416,,虫,,,,,,吉,,,,,蛣䖦，蝎也。从虫吉聲。,Y,8768,,
