link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
M-Mi,2,闪,9139,,,,,门,,,,,,人,2024-01-15 12:11:31,,Y,,from HSK,"""to dodge/to duck out of the way/to beat it/shaken (by a fall)/to sprain/to pull a muscle/lightning/spark/a flash/to flash (across one's mind)/to leave behind/(Internet slang) (of a display of affection) """"dazzlingly"""" saccharine"""
M-Mi,2,闭,1705,,,,,门,,,,,,才,2024-01-15 12:52:51,,Y,,from HSK,to close/to stop up/to shut/to obstruct
M-Mi,2,问,70,,,,,门,,,,,,口,2024-01-15 12:42:19,,Y,,from HSK,to ask;  to inquire
M-Mi,2,闯,2499,,,,,门,,,,,,马,2024-01-15 12:58:53,,Y,,from HSK,to rush/to charge/to dash/to break through/to temper oneself (through battling hardships)
M-Mi,2,闰,8985,,,,,门,,,,,,王,2024-01-27 10:45:56,,Y,,from HSK,intercalary/an extra day or month inserted into the lunar or solar calendar (such as February 29)
M-Mi,2,闲,10924,,,,,门,,,,,,木,2024-01-23 22:55:46,,Y,,from HSK,idle/unoccupied/leisure;  enclosure/(variant of 閒|闲[xian2]) idle/unoccupied/leisure
M-Mi,2,间,5145,,,,,门 ,,,,,,日,2024-01-18 02:15:19,,Y,,from HSK,between/among/within a definite time or space/room/section of a room or lateral space between two pairs of pillars/classifier for rooms
M-Mi,2,闵,766,,,,,门,,,,,,文,2024-01-28 11:35:30,,Y,,,
M-Mi,2,闷,7229,,,,,门,,,,,,心,2024-01-23 22:43:32,,Y,,from HSK,stuffy/shut indoors/to smother/to cover tightly
M-Mi,2,闸,12676,,,,,门,,,,,,甲,2024-01-26 23:09:53,,Y,,from HSK,gear/brake/sluice/lock (on waterway)/electric switch or circuit breaker
M-Mi,2,闹,7619,,,,,门,,,,,,市,2024-01-26 22:46:02,,Y,,from HSK,noisy/cacophonous/to make noise/to disturb/to vent (feelings)/to fall ill/to have an attack (of sickness)/to go in (for some activity)/to joke
M-Mi,2,闺,225,,,,,门,,,,,,圭,2024-01-28 08:34:19,,Y,,from HSK,small arched door/boudoir;  lady's chamber/(fig.) women
M-Mi,2,闻,10535,,,,,门,,,,,,耳,2024-01-27 01:27:24,,Y,,from HSK,to hear/news/well-known/famous/reputation/fame/to smell/to sniff at
M-Mi,2,闽,767,,,,,门,,,,,,虫,2024-01-28 08:35:18,,Y,,from HSK,short name for Fujian province 福建[Fu2 jian4]/also pr. [Min2]
M-Mi,2,阀,3418,,,,,门,,,,,,伐,2024-01-27 00:52:35,,Y,,from HSK,"powerful individual, family or group/clique/(loanword) valve"
M-Mi,2,阁,3924,,,,,门,,,,,,各,2024-01-27 00:53:37,,Y,,from HSK,pavilion (usu. two-storied)/cabinet (politics)/boudoir/woman's chamber/rack/shelf
M-Mi,2,阂,4409,,,,,门,,,,,,亥,2024-02-13 22:21:46,,Y,,,
M-Mi,2,阅,12482,,,,,门,,,,,,兑,2024-01-27 11:14:25,,Y,,from HSK,to inspect/to review/to read/to peruse/to go through/to experience
M-Mi,2,阎,1106,,,,,门,,,,,,臽,2024-01-28 12:46:23,,Y,,from HSK,Yama/gate of village/surname Yan
M-Mi,2,阐,2130,,,,,门,,,,,,单,2024-01-28 12:48:29,,Y,,from HSK,to express/to disclose/to enlighten/to open
M-Mi,2,阑,6251,,,,,门,,,,,,柬,2024-01-25 21:34:23,,Y,,,
M-Mi,2,阔,6180,,,,,门,,,,,,活,2024-01-27 17:33:54,,Y,,from HSK,rich/wide/broad
M-Mi,2,面,7355,,,,,页,,,,,,囗,2024-01-27 00:06:54,,Y,,from HSK,"flour/noodles/(of food) soft (not crunchy)/(slang) (of a person) ineffectual/spineless; face/side/surface/aspect/top/classifier for objects with flat surfaces such as drums, mirrors, flags etc"
M-Mi,2,风,3609,,,,,几,,,,,,乂,2024-01-30 21:34:54,,Y,,from HSK,"wind/news/style/custom/manner/CL:陣|阵[zhen4],絲|丝[si1]"
M-Mi,2,鳳,13539,,,,,几,,,,,,鸟,2024-01-20 17:54:23,神鳥也。天老曰：“鳳之象也，鴻前麐後，蛇頸魚尾，鸛顙鴛思，龍文虎背，燕頷雞喙，五色備舉。出於東方君子之國，翺翔四海之外，過崐崘，飲砥柱，濯羽弱水，莫宿風穴。見則天下大安寕。”从鳥凡聲。,Y,,,
M-Mi,2,黃,13760,,,,,炗,,,,,,田,2024-01-21 19:21:09,地之色也。从田从炗，炗亦聲。炗，古文光。凡黃之屬皆从黃。,Y,,,
M-Mi,2,黄,4723,,,,,共,,,,,,由,2024-01-27 10:12:31,,Y,,from HSK,yellow/pornographic/to fall through
M-Mi,2,𠣾,13708,,,,,勹,,,,,,復,2024-01-21 15:15:07,重也。从勹復聲。,Y,,,
M-Mi,2,𧗳,13647,,,,,行,,,,,,言,2024-01-21 09:03:20,行且賣也。从行从言。,Y,,,
M-Mi,2,𩰎,13791,,,,,鬥,,,,,,戈,2024-01-21 21:55:43,試力士錘也。从鬥从戈。或从戰省。讀若縣。,Y,,,
