zi,pinyin,alias,traditional,as_part,is_radical,nstrokes,desc_cn,zi_en,desc_en,layer,u_id,is_active,sort_val
瓜,gua1,,,Y,Y,,,,melon/gourd/squash,HSK_1-Common-02,4107,Y,235.0
禾,he2,,,Y,Y,,,,cereal/grain,HSK_1-Common-02,4401,Y,238.0
立,li4,,,Y,Y,,,,to stand/to set up/to establish/to lay down/to draw up/at once/immediately,HSK_1-Common-02,6500,Y,265.0
令,ling4,,,Y,,5,,order,to order/to command/an order/warrant/writ/to cause/to make sth happen/virtuous/honorific title/season/government position (old)/type of short song or poem,HSK_1-Common-02,6760,Y,267.0
龙,long2,,龍,Y,Y,,,,dragon/CL:條|条[tiao2]/imperial,HSK_1-Common-02,6833,Y,269.0
矛,mao2,,,Y,Y,,,,spear/lance/pike,HSK_1-Common-02,7133,Y,270.0
母,mu3,,,Y,Y,,,,mother/elderly female relative/origin/source/(of animals) female,HSK_1-Common-02,7509,Y,275.0
目,mu4,,,Y,Y,,,,eye/(literary) to look;  to regard/eye (of a net),HSK_1-Common-02,47,Y,276.0
鸟,niao3,,鳥,Y,Y,,,,"""bird/CL:隻|只[zhi1],群[qun2]/""""bird"""" radical in Chinese characters (Kangxi radical 196)/(dialect) to pay attention to/(intensifier) damned/goddamn""",HSK_1-Common-02,7707,Y,280.0
皮,pi2,,,Y,Y,,,,leather/skin/fur/CL:張|张[zhang1]/pico- (one trillionth)/naughty,HSK_1-Common-02,8025,Y,285.0
且,qie3,,,Y,,5,,,and/moreover/yet/for the time being/to be about to/both (... and...),HSK_1-Common-02,8531,Y,290.0
生,sheng1,,,Y,Y,,,,to be born/to give birth/life/to grow/raw/uncooked/student,HSK_1-Common-02,9303,Y,299.0
石,shi2,,,Y,Y,,,,rock/stone/stone inscription/one of the eight categories of ancient musical instruments 八音[ba1 yin1],HSK_1-Common-02,9357,Y,302.0
田,tian2,,,Y,Y,,,,field/farm/CL:片[pian4],HSK_1-Common-02,10040,Y,322.0
兄,xiong1,,,Y,,,,,elder brother,HSK_1-Common-02,11210,Y,331.0
穴,xue2,,,Y,Y,,,,cave/cavity/hole/acupuncture point/Taiwan pr. [xue4],HSK_1-Common-02,11393,Y,332.0
臣,chen2,,,Y,Y,,,,"state official or subject in dynastic China/I, your servant (used in addressing the sovereign)/Kangxi radical 131",HSK_1-Common-03,2222,Y,375.0
虫,chong2,,蟲,Y,Y,,,,"lower form of animal life, including insects, insect larvae, worms and similar creatures/CL:條|条[tiao2],隻|只[zhi1]/(fig.) person with a particular undesirable characteristic",HSK_1-Common-03,2368,Y,381.0
而,er2,,,Y,Y,,,,and/as well as/and so/but (not)/yet (not)/(indicates causal relation)/(indicates change of state)/(indicates contrast),HSK_1-Common-03,3377,Y,401.0
耳,er3,,,Y,Y,,,,ear/handle (archaeology)/and that is all (Classical Chinese),HSK_1-Common-03,3389,Y,402.0
老,lao3,,,Y,Y,,,,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity/old (of people)/venerable (person)/experienced/of long standing/always/all the time/of the past/very/outdated/(of meat etc) tough,HSK_1-Common-03,6317,Y,445.0
米,mi3,,,Y,Y,,,,rice/CL:粒[li4]/meter (classifier),HSK_1-Common-03,7302,Y,453.0
齐,qi2,,齊,Y,Y,,,,neat/even/level with/identical/simultaneous/all together/to even sth out,HSK_1-Common-03,8310,Y,459.0
肉,rou4,,,Y,Y,,,,meat/flesh/pulp (of a fruit)/(coll.) (of a fruit) squashy/(of a person) flabby/irresolute/Kangxi radical 130,HSK_1-Common-03,8922,Y,470.0
色,se4,,,Y,Y,,,,color/CL:種|种[zhong3]/look/appearance/sex,HSK_1-Common-03,9073,Y,474.0
舌,she2,,,Y,Y,,,,tongue,HSK_1-Common-03,9220,Y,477.0
网,wang3,,網,Y,Y,,,,net/network,HSK_1-Common-03,10397,Y,487.0
西,xi1,,,Y,Y,,,,west,HSK_1-Common-03,10759,Y,495.0
页,xie2,,頁,Y,Y,,,,head,HSK_1-Common-03,11105,Y,501.0
血,xue4,,,Y,Y,,,,"blood/colloquial pr. [xie3]/CL:滴[di1],片[pian4]",HSK_1-Common-03,11400,Y,506.0
羊,yang2,,,Y,Y,,,,"sheep; goat/CL:頭|头[tou2],隻|只[zhi1]",HSK_1-Common-03,11659,Y,514.0
页,ye4,,頁,Y,Y,,,,page/leaf,HSK_1-Common-03,11784,Y,517.0
衣,yi1,,,Y,Y,,,,clothes/CL:件[jian4]/Kangxi radical 145,HSK_1-Common-03,11808,Y,518.0
衣,yi4,,,Y,Y,,,,to dress/to wear/to put on (clothes),HSK_1-Common-03,11958,Y,519.0
至,zhi4,,,Y,Y,,,,to arrive/most/to/until,HSK_1-Common-03,13053,Y,536.0
舟,zhou1,,,Y,Y,,,,boat,HSK_1-Common-03,13118,Y,539.0
竹,zhu2,,,Y,Y,,,,"bamboo/CL:棵[ke1],支[zhi1],根[gen1]/Kangxi radical 118",HSK_1-Common-03,13178,Y,541.0
自,zi4,,,Y,Y,,,,self/oneself/from/since/naturally/surely,HSK_1-Common-03,13401,Y,544.0
辰,chen2,,,Y,Y,,,,"5th earthly branch: 7-9 a.m., 3rd solar month (5th April-4th May), year of the Dragon/ancient Chinese compass point: 120°",HSK_1-Common-04,2226,Y,559.0
赤,chi4,,,Y,Y,,,,red/scarlet/bare/naked,HSK_1-Common-04,2350,Y,562.0
豆,dou4,,,Y,Y,,,,"bean/pea/CL:棵[ke1],粒[li4]/sacrificial vessel",HSK_1-Common-04,3161,Y,570.0
足,ju4,,,Y,Y,,,,excessive,HSK_1-Common-04,5707,Y,620.0
里,li3,,裡,Y,Y,,,,"lining/interior/inside/internal/also written 裏|里[li3];  li, ancient measure of length, approx. 500 m/neighborhood/ancient administrative unit of 25 families/(Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels",HSK_1-Common-04,6443,Y,633.0
麦,mai4,,麥,Y,Y,,,,wheat/barley/oats,HSK_1-Common-04,7080,Y,644.0
羽,yu3,,,Y,Y,,,,feather/5th note in pentatonic scale,HSK_1-Common-04,12309,Y,708.0
走,zou3,,,Y,Y,,,,"to walk/to go/to run/to move (of vehicle)/to visit/to leave/to go away/to die (euph.)/from/through/away (in compound verbs, such as 撤走[che4 zou3])/to change (shape, form, meaning)",HSK_1-Common-04,13439,Y,725.0
足,zu2,,,Y,Y,,,,foot/to be sufficient/ample,HSK_1-Common-04,13451,Y,726.0
谷,gu3,,穀,Y,Y,,,,grain/corn; valley,HSK_1-Common-05,4071,Y,775.0
角,jiao3,,,Y,Y,,,,"angle/corner/horn/horn-shaped/unit of money equal to 0.1 yuan, or 10 cents (a dime)/CL:個|个[ge4]",HSK_1-Common-05,5328,Y,790.0
角,jue2,,,Y,Y,,,,role (theater)/to compete/ancient three legged wine vessel/third note of pentatonic scale,HSK_1-Common-05,5793,Y,796.0
青,qing1,,,Y,Y,,,,green/blue/black/youth/young (of people),HSK_1-Common-05,8593,Y,833.0
身,shen1,,,Y,Y,,,,"body/life/oneself/personally/one's morality and conduct/the main part of a structure or body/pregnant/classifier for sets of clothes: suit, twinset/Kangxi radical 158",HSK_1-Common-05,9269,Y,843.0
辛,xin1,,,Y,Y,,,,"""(of taste) hot or pungent/hard/laborious/suffering/eighth in order/eighth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/letter """"H"""" or Roman """"VIII"""" in list """"A, B, C"""", or """"I, II, III"""" etc/ancient Chinese compass point: 285°/octa""",HSK_1-Common-05,11158,Y,868.0
言,yan2,,,Y,Y,,,,words/speech/to say/to talk,HSK_1-Common-05,11555,Y,871.0
齿,chi3,,齒,Y,Y,,,,tooth/CL:顆|颗[ke1],HSK_1-Common-06,2335,Y,922.0
非,fei1,,,Y,Y,,,,to not be;  not/wrong,HSK_1-Common-06,190,Y,939.0
金,jin1,,,Y,Y,,,,gold/chemical element Au/generic term for lustrous and ductile metals/money/golden/highly respected/one of the eight categories of ancient musical instruments 八音[ba1 yin1],HSK_1-Common-06,5458,Y,971.0
尚,shang4,,,Y,,8,,,still/yet/to value/to esteem,HSK_1-Common-06,9181,Y,1029.0
雨,yu3,,,Y,Y,,,,"rain/CL:陣|阵[zhen4],場|场[chang2]",HSK_1-Common-06,12312,Y,1067.0
雨,yu4,,,Y,Y,,,,"(literary) to rain/(of rain, snow etc) to fall/to precipitate/to wet",HSK_1-Common-06,12378,Y,1068.0
隶,li4,,隸,Y,Y,,,,(bound form) a person in servitude;  low-ranking subordinate/(bound form) to be subordinate to/(bound form) clerical script (the style of characters intermediate between ancient seal and modern regular characters),HSK_1-Common-07,216,Y,1172.0
鱼,yu2,,魚,Y,Y,,,,"fish/CL:條|条[tiao2],尾[wei3]",HSK_1-Common-07,12288,Y,1241.0
革,ge2,,,Y,Y,,,,animal hide/leather/to reform/to remove/to expel (from office),HSK_1-Common-08,3927,Y,1302.0
骨,gu3,,,Y,Y,,,,bone,HSK_1-Common-08,4085,Y,1304.0
鬼,gui3,,,Y,Y,,,,disembodied spirit;  ghost,HSK_1-Common-08,243,Y,1306.0
面,mian4,,麵,Y,Y,,,,"flour/noodles/(of food) soft (not crunchy)/(slang) (of a person) ineffectual/spineless; face/side/surface/aspect/top/classifier for objects with flat surfaces such as drums, mirrors, flags etc",HSK_1-Common-08,7355,Y,1354.0
首,shou3,,,Y,Y,,,,"head/chief/first (occasion, thing etc)/classifier for poems, songs etc",HSK_1-Common-09,9438,Y,1580.0
音,yin1,,,Y,Y,,,,sound/noise/note (of musical scale)/tone/news/syllable/reading (phonetic value of a character),HSK_1-Common-09,12010,Y,1611.0
麻,ma2,,,Y,Y,,,,"generic name for hemp, flax etc/hemp or flax fiber for textile materials/sesame/CL:縷|缕[lu:3]/(of materials) rough or coarse/pocked/pitted/to have pins and needles or tingling/to feel numb",HSK_1-Common-12,7047,Y,2088.0
黑,hei1,,,Y,Y,,,,black/dark/sinister/secret/shady/illegal/to hide (sth) away/to vilify/(loanword) to hack (computing),HSK_1-Common-13,4437,Y,2230.0
匕,bi3,,,Y,Y,,,,dagger/ladle/ancient type of spoon,HSK_2-CommonLow-1,1628,Y,2817.0
歹,dai3,,,Y,Y,,,,bad/wicked/evil/Kangxi radical 78,HSK_2-CommonLow-1,2759,Y,2825.0
戈,ge1,,,Y,Y,,,,dagger-axe/abbr. for 戈瑞[ge1 rui4]/(Tw) abbr. for 戈雷[ge1 lei2],HSK_2-CommonLow-1,3898,Y,2846.0
臼,jiu4,,,Y,Y,,,,mortar,HSK_2-CommonLow-1,5618,Y,2865.0
皿,min3,,,Y,Y,,,,(bound form) dish;  vessel,HSK_2-CommonLow-1,9,Y,2890.0
矢,shi3,,,Y,Y,,,,arrow/dart/straight/to vow/to swear/old variant of 屎[shi3],HSK_2-CommonLow-1,9376,Y,2920.0
