zi,u_id,unicode,pinyin,nstrokes,alias,traditional,as_part,is_radical,layer,desc_cn,zi_en,desc_en,ts,sort_val,is_active
匹,8002,,pi1,,,,,,HSK_1-Common-01,,,mate/one of a pair  product  goods/(bound form) grade  rank/kind  type  variety/character  disposition  nature  temperament/to taste sth  to sample/to criticize  to comment  to judge  to size up/fret (on a guitar or lute),,94.0,Y
匹,8043,,pi3,,,,,,HSK_1-Common-01,,,"classifier for horses, mules etc/Taiwan pr. [pi1]/ordinary person/classifier for cloth: bolt/horsepower",,95.0,Y
区,8676,,qu1,,,區,,,HSK_1-Common-01,,,area/region/district/small/distinguish/CL:個|个[ge4],,106.0,Y
十,9347,,shi2,,,,Y,Y,HSK_1-Common-01,,,ten/10,,124.0,Y
千,8363,,qian1,,,,,,HSK_1-Common-01,,,thousand,,102.0,Y
升,9296,,sheng1,,,,,,HSK_1-Common-01,,,to ascend/to rise to the rank of/to promote/to hoist/liter/measure for dry grain equal to one-tenth dou 斗[dou3],,122.0,Y
午,10633,,wu3,,,,,,HSK_1-Common-01,,,"7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse/ancient Chinese compass point: 180° (south)",,147.0,Y
卜,1911,,bo5,2,,蔔,Y,Y,HSK_1-Common-01,,,see 蘿蔔|萝卜[luo2 bo5],,5.0,Y
卫,10509,,wei4,,,衛,,,HSK_1-Common-01,,,"to guard/to protect/to defend/abbr. for 衛生|卫生, hygiene/health/abbr. for 衛生間|卫生间, toilet",,142.0,Y
厂,2167,,chang3,,,廠,Y,Y,HSK_1-Common-01,,,factory/yard/depot/workhouse/works/(industrial) plant,,13.0,Y
厂,4306,,han3,,,,Y,Y,HSK_1-Common-01,,,"""""""cliff"""" radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc""",,54.0,Y
厅,10102,,ting1,,,廳,,,HSK_1-Common-01,,,(reception) hall/living room/office/provincial government department,,131.0,Y
历,6475,,li4,,,曆,,,HSK_1-Common-01,,,calendar,,81.0,Y
历,6484,,li4,,,歷,,,HSK_1-Common-01,,,to experience/to undergo/to pass through/all/each/every/history; strict/severe,,82.0,Y
又,12214,,you4,,,,Y,Y,HSK_1-Common-01,,,(once) again/also/both... and.../and yet/(used for emphasis) anyway,,170.0,Y
叉,2033,,cha1,,,,,,HSK_1-Common-01,,,"""fork/pitchfork/prong/pick/cross/intersect/""""X""""""",,9.1,Y
叉,2045,,cha2,,,,,,HSK_1-Common-01,,,to cross/be stuck,,9.2,Y
叉,2061,,cha3,,,,Y,,HSK_1-Common-01,,,to diverge/to open (as legs),,11.0,Y
及,4928,,ji2,,,,,,HSK_1-Common-01,,,and/to reach/up to/in time for,,61.0,Y
友,12203,,you3,,,,,,HSK_1-Common-01,,,friend,,169.0,Y
反,3462,,fan3,,,,,,HSK_1-Common-01,,,contrary/in reverse/inside out or upside down/to reverse/to return/to oppose/opposite/against/anti-/to rebel/to use analogy/instead/abbr. for 反切[fan3 qie4] phonetic system,,31.0,Y
口,6012,,kou3,,,,Y,Y,HSK_1-Common-01,,,"mouth/classifier for things with mouths (people, domestic animals, cannons, wells etc)/classifier for bites or mouthfuls",,77.0,Y
土,10210,,tu3,,,,Y,Y,HSK_1-Common-01,,,earth/dust/clay/local/indigenous/crude opium/unsophisticated/one of the eight categories of ancient musical instruments 八音[ba1 yin1],,132.0,Y
士,9390,,shi4,,,,,,HSK_1-Common-01,,,member of the senior ministerial class (old)/scholar (old)/bachelor/honorific/soldier/noncommissioned officer/specialist worker  done/familiar  acquainted/experienced  skilled/(of sleep etc) deep  profound/also pr. [shou2],,125.0,Y
夕,10692,,xi1,,,,Y,Y,HSK_1-Common-01,,,dusk/evening/Taiwan pr. [xi4],,149.0,Y
大,224,,da4,,,,Y,Y,HSK_1-Common-01,,,big;  large,,19.0,Y
大,2767,,dai4,,,,Y,Y,HSK_1-Common-01,,,see 大夫[dai4 fu5],,20.0,Y
天,10027,,tian1,,,,,,HSK_1-Common-01,,,day/sky/heaven,,130.0,Y
太,9841,,tai4,,,,,,HSK_1-Common-01,,,highest/greatest/too (much)/very/extremely,,129.0,Y
夫,3637,,fu1,,,,,,HSK_1-Common-01,,,husband/man/manual worker/conscripted laborer (old),,40.0,Y
夫,3660,,fu2,,,,,,HSK_1-Common-01,,,"(classical) this, that/he, she, they/(exclamatory final particle)/(initial particle, introduces an opinion)",,41.0,Y
女,7796,,nu:3,,,,Y,Y,HSK_1-Common-01,,,female/woman/daughter,,93.0,Y
子,13379,,zi3,,,,Y,Y,HSK_1-Common-01,,,"son/child/seed/egg/small thing/1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat/Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]/ancient Chinese compass point: 0° (north)/subsidiary/subordinate/sub-",,189.0,Y
寸,2699,,cun4,,,,Y,Y,HSK_1-Common-01,,,a unit of length/inch/thumb,,18.0,Y
小,11051,,xiao3,,,,Y,Y,HSK_1-Common-01,,,small/tiny/few/young,,154.0,Y
少,9205,,shao3,,,,,,HSK_1-Common-01,,,few/less/to lack/to be missing/to stop (doing sth)/seldom,,119.0,Y
少,9208,,shao4,,,,,,HSK_1-Common-01,,,young,,120.0,Y
尤,12180,,you2,,,,,,HSK_1-Common-01,,,"outstanding/particularly, especially/a fault/to express discontentment against",,168.0,Y
尸,9326,,shi1,,,屍,Y,Y,HSK_1-Common-01,,,corpse; person representing the dead (during burial ceremonies)/to put a corpse on display (after execution)/variant of 屍|尸[shi1]/corpse,,123.0,Y
屯,10255,,tun2,,,,,,HSK_1-Common-01,,,to station (soldiers)/to store up/village,,133.0,Y
屯,13294,,zhun1,,,,,,HSK_1-Common-01,,,difficult/stingy,,188.0,Y
山,236,,shan1,,,,Y,Y,HSK_1-Common-01,,,mountain;  hill (CL:座[zuo4])/(coll.) small bundle of straw for silkworms to spin cocoons on,,116.0,Y
川,2470,,chuan1,,,,,,HSK_1-Common-01,,,(bound form) river/creek/plain/an area of level country,,16.0,Y
工,3982,,gong1,,,,Y,Y,HSK_1-Common-01,,,work/worker/skill/profession/trade/craft/labor,,50.0,Y
巨,231,,ju4,,,,,,HSK_1-Common-01,,,very large;  huge,,75.0,Y
己,4966,,ji3,,,,Y,Y,HSK_1-Common-01,,,"""self/oneself/sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/sixth in order/letter """"F"""" or Roman """"VI"""" in list """"A, B, C"""", or """"I, II, III"""" etc/hexa""",,63.0,Y
已,11864,,yi3,,,,,,HSK_1-Common-01,,,already/to stop/then/afterwards,,163.0,Y
巾,5446,,jin1,,,,Y,Y,HSK_1-Common-01,,,towel/general purpose cloth/women's headcovering (old)/Kangxi radical 50,,68.0,Y
