zi,u_id,unicode,pinyin,nstrokes,alias,traditional,as_part,is_radical,layer,desc_cn,zi_en,desc_en,ts,sort_val,is_active
胜,9318,,sheng4,,,勝,,,HSK_1-Common-09,,,victory/success/to beat/to defeat/to surpass/victorious/superior to/to get the better of/better than/surpassing/superb (of vista)/beautiful (scenery)/wonderful (view)/(Taiwan pr. [sheng1]) able to bear/equal to (a task),,1575.0,Y
胞,1510,,bao1,,,,,,HSK_1-Common-09,,,placenta/womb/born of the same parents,,1463.0,Y
脉,7074,,mai4,,,脈,,,HSK_1-Common-09,,,"arteries and veins/vein (on a leaf, insect wing etc)",,1542.0,Y
艳,11616,,yan4,,,艷,,,HSK_1-Common-09,,,colorful/splendid/gaudy/amorous/romantic/to envy,,1605.0,Y
蚀,9360,,shi2,,,蝕,,,HSK_1-Common-09,,,to nibble away at sth/to eat into/to erode,,1578.0,Y
蚕,1975,,can2,,,蠶,,,HSK_1-Common-09,,,silkworm,,1467.0,Y
袄,1369,,ao3,,,襖,,,HSK_1-Common-09,,,coat/jacket/short and lined coat or robe,,1458.0,Y
觉,5355,,jiao4,,,覺,,,HSK_1-Common-09,,,a nap/a sleep/CL:場|场[chang2],,1522.0,Y
觉,5792,,jue2,,,覺,,,HSK_1-Common-09,,,to feel/to find that/thinking/awake/aware,,1529.0,Y
语,12311,,yu3,,,語,,,HSK_1-Common-09,,,dialect/language/speech,,1615.0,Y
语,12367,,yu4,,,語,,,HSK_1-Common-09,,,to tell to,,1616.0,Y
误,10671,,wu4,,,誤,,,HSK_1-Common-09,,,mistake/error/to miss/to harm/to delay/to neglect/mistakenly,,1598.0,Y
诱,85,,you4,,,誘,,,HSK_1-Common-09,,,(literary) to induce;  to entice,,1614.0,Y
说,23,,shuo1,,,說,,,HSK_1-Common-09,,,to speak;  to talk,,1582.0,Y
说,9548,,shui4,,,說,,,HSK_1-Common-09,,,to persuade,,1581.0,Y
诵,9643,,song4,,,誦,,,HSK_1-Common-09,,,to read aloud/to recite,,1583.0,Y
贸,7171,,mao4,,,貿,,,HSK_1-Common-09,,,commerce/trade,,1544.0,Y
费,3545,,fei4,,,費,,,HSK_1-Common-09,,,to cost/to spend/fee/wasteful/expenses,,1485.0,Y
贺,4432,,he4,,,賀,,,HSK_1-Common-09,,,to congratulate,,1496.0,Y
赶,108,,gan3,,,趕,,,HSK_1-Common-09,,,to overtake;  to catch up with/to hurry,,1487.0,Y
起,8327,,qi3,,,,,,HSK_1-Common-09,,,"to rise/to raise/to get up/to set out/to start/to appear/to launch/to initiate (action)/to draft/to establish/to get (from a depot or counter)/verb suffix, to start/starting from (a time, place, price etc)/classifier for occurrences or unpredictable events: case, instance/classifier for groups: batch, group",,1560.0,Y
载,12548,,zai3,,,載,,,HSK_1-Common-09,,,to record in writing/to carry (i.e. publish in a newspaper etc)/Taiwan pr. [zai4]/year,,1621.0,Y
载,12552,,zai4,,,載,,,HSK_1-Common-09,,,to carry/to convey/to load/to hold/to fill up/and/also/as well as/simultaneously,,1622.0,Y
迷,7292,,mi2,,,,,,HSK_1-Common-09,,,to bewilder/crazy about/fan/enthusiast/lost/confused,,1547.0,Y
迹,5031,,ji4,,,跡,,,HSK_1-Common-09,,,footprint/mark/trace/vestige/sign/indication/Taiwan pr. [ji1],,1509.0,Y
退,17,,tui4,,,,,,HSK_1-Common-09,,,to retreat;  to withdraw/to reject,,1592.0,Y
送,97,,song4,,,,,,HSK_1-Common-09,,,to send;  to deliver,,1584.0,Y
逆,7674,,ni4,,,,,,HSK_1-Common-09,,,contrary/opposite/backwards/to go against/to oppose/to betray/to rebel,,1551.0,Y
闻,10535,,wen2,,,聞,,,HSK_1-Common-09,,,to hear/news/well-known/famous/reputation/fame/to smell/to sniff at,,1596.0,Y
阀,3418,,fa2,,,閥,,,HSK_1-Common-09,,,"powerful individual, family or group/clique/(loanword) valve",,1483.0,Y
阁,3924,,ge2,,,閣,,,HSK_1-Common-09,,,pavilion (usu. two-storied)/cabinet (politics)/boudoir/woman's chamber/rack/shelf,,1488.0,Y
陡,3155,,dou3,,,,,,HSK_1-Common-09,,,steep/precipitous/abrubtly/suddenly/unexpectedly,,1479.0,Y
院,12452,,yuan4,,,,,,HSK_1-Common-09,,,courtyard/institution/CL:個|个[ge4],,1619.0,Y
除,2438,,chu2,,,,,,HSK_1-Common-09,,,to get rid of/to remove/to exclude/to eliminate/to wipe out/to divide/except/not including,,1472.0,Y
险,10943,,xian3,,,險,,,HSK_1-Common-09,,,danger/dangerous/rugged,,1601.0,Y
音,12010,,yin1,,,,Y,Y,HSK_1-Common-09,,,sound/noise/note (of musical scale)/tone/news/syllable/reading (phonetic value of a character),,1611.0,Y
顽,10358,,wan2,,,頑,,,HSK_1-Common-09,,,mischievous/obstinate/to play/stupid/stubborn/naughty,,1595.0,Y
饶,8839,,rao2,,,饒,,,HSK_1-Common-09,,,rich/abundant/exuberant/to add for free/to throw in as bonus/to spare/to forgive/despite/although,,1568.0,Y
饺,5331,,jiao3,,,餃,,,HSK_1-Common-09,,,dumplings with meat filling,,1521.0,Y
饼,1840,,bing3,,,餅,,,HSK_1-Common-09,,,round flat cake/cookie/cake/pastry/CL:張|张[zhang1],,1465.0,Y
首,9438,,shou3,,,,Y,Y,HSK_1-Common-09,,,"head/chief/first (occasion, thing etc)/classifier for poems, songs etc",,1580.0,Y
骄,5296,,jiao1,,,驕,,,HSK_1-Common-09,,,proud/arrogant,,1518.0,Y
骆,7032,,luo4,,,駱,,,HSK_1-Common-09,,,camel/white horse with a black mane (archaic),,1540.0,Y
乘,2257,,cheng2,,,,,,HSK_1-Common-10,,,to ride/to mount/to make use of/to avail oneself of/to take advantage of/to multiply (math.)/Buddhist sect or creed,,1658.0,Y
俯,3717,,fu3,,,,,,HSK_1-Common-10,,,to look down/to stoop,,1685.0,Y
俱,295,,ju4,,,,,,HSK_1-Common-10,,,(literary) all;  both,,1723.0,Y
倍,1558,,bei4,,,,,,HSK_1-Common-10,,,"(two, three etc) -fold/times (multiplier)/double/to increase or multiply",,1647.0,Y
倒,58,,dao4,,,,,,HSK_1-Common-10,,,to invert;  to place upside down or frontside back/to pour out/to tip out,,1672.0,Y
倒,105,,dao3,,,,,,HSK_1-Common-10,,,to fall;  to collapse,,1671.0,Y
倘,146,,tang3,,,,,,HSK_1-Common-10,,,if;  supposing,,1766.0,Y
倘,2148,,chang2,,,,,,HSK_1-Common-10,,,used in 倘佯[chang2 yang2],,1654.0,Y
候,4519,,hou4,,,,,,HSK_1-Common-10,,,to wait/to inquire after/to watch/season/climate/(old) period of five days,,1699.0,Y
倚,11861,,yi3,,,,,,HSK_1-Common-10,,,to lean on/to rely upon,,1793.0,Y
借,5429,,jie4,,,,,,HSK_1-Common-10,,,to lend/to borrow/by means of/to take (an opportunity),,1720.0,Y
倡,2173,,chang4,,,,,,HSK_1-Common-10,,,to initiate/to instigate/to introduce/to lead,,1655.0,Y
倦,5731,,juan4,,,,,,HSK_1-Common-10,,,tired,,1725.0,Y
债,12707,,zhai4,,,債,,,HSK_1-Common-10,,,debt/CL:筆|笔[bi3],,1802.0,Y
值,12973,,zhi2,,,,,,HSK_1-Common-10,,,value/(to be) worth/to happen to/to be on duty,,1807.0,Y
倾,8584,,qing1,,,傾,,,HSK_1-Common-10,,,to overturn/to collapse/to lean/to tend/to incline/to pour out,,1750.0,Y
健,5190,,jian4,,,,,,HSK_1-Common-10,,,healthy/to invigorate/to strengthen/to be good at/to be strong in,,1711.0,Y
党,2850,,dang3,,,黨,,,HSK_1-Common-10,,,party/association/club/society/CL:個|个[ge4],,1669.0,Y
准,13299,,zhun3,,,,,,HSK_1-Common-10,,,to allow/to grant/in accordance with/in the light of,,1813.0,Y
原,12409,,yuan2,,,,,,HSK_1-Common-10,,,former/original/primary/raw/level/cause/source,,1794.0,Y
哥,3896,,ge1,,,,,,HSK_1-Common-10,,,elder brother,,1688.0,Y
哨,9207,,shao4,,,,,,HSK_1-Common-10,,,a whistle/sentry,,1756.0,Y
哭,19,,ku1,,,,,,HSK_1-Common-10,,,to cry;  to weep,,1727.0,Y
哲,12821,,zhe2,,,,,,HSK_1-Common-10,,,wise/a sage,,1803.0,Y
唇,2533,,chun2,,,,,,HSK_1-Common-10,,,lip,,1664.0,Y
唉,1281,,ai1,,,,,,HSK_1-Common-10,,,"interjection or grunt of agreement or recognition (e.g. yes, it's me!)/to sigh",,1641.0,Y
唉,1301,,ai4,,,,,,HSK_1-Common-10,,,alas/oh dear,,1643.0,Y
唤,4672,,huan4,,,喚,,,HSK_1-Common-10,,,to call  liberal-minded  generous/to exempt  to remit,,1701.0,Y
啊,1272,,a1,,,,,,HSK_1-Common-10,,,interjection of surprise/Ah!/Oh!,,1636.0,Y
啊,1275,,a2,,,,,,HSK_1-Common-10,,,interjection expressing doubt or requiring answer/Eh?/what?,,1637.0,Y
啊,1278,,a4,,,,,,HSK_1-Common-10,,,"interjection or grunt of agreement/uhm/Ah, OK/expression of recognition/Oh, it's you!",,1638.0,Y
啊,1279,,a5,,,,,,HSK_1-Common-10,,,"modal particle ending sentence, showing affirmation, approval, or consent",,1639.0,Y
圆,12412,,yuan2,,,圓,,,HSK_1-Common-10,,,circle/round/circular/spherical/(of the moon) full/unit of Chinese currency (yuan)/tactful/to make consistent and whole (the narrative of a dream or a lie),,1795.0,Y
壶,4547,,hu2,,,壺,,,HSK_1-Common-10,,,pot/classifier for bottled liquid,,1700.0,Y
夏,10875,,xia4,,,,,,HSK_1-Common-10,,,summer,,1782.0,Y
套,9961,,tao4,,,,,,HSK_1-Common-10,,,"to cover/to encase/cover/sheath/to overlap/to interleave/to model after/to copy/formula/harness/loop of rope/(fig.) to fish for/to obtain slyly/classifier for sets, collections/bend (of a river or mountain range, in place names)/tau (Greek letter Ττ)",,1768.0,Y
射,9225,,she4,,,䠶,,,HSK_1-Common-10,,,old variant of 射[she4]; to shoot/to launch/to allude to/radio- (chemistry),,1757.0,Y
峰,3592,,feng1,,,峯,,,HSK_1-Common-10,,,old variant of 峰[feng1]; (of a mountain) high and tapered peak or summit/mountain-like in appearance/highest level/classifier for camels,,1683.0,Y
席,10777,,xi2,,,,,,HSK_1-Common-10,,,"woven mat/seat/banquet/place in a democratic assembly/classifier for banquets, conversations etc",,1781.0,Y
座,13514,,zuo4,,,,,,HSK_1-Common-10,,,"seat/base/stand/(archaic) suffix used in a respectful form of address, e.g. 师座|师座[shi1 zuo4]/CL:個|个[ge4]/classifier for buildings, mountains and similar immovable objects",,1818.0,Y
徐,11282,,xu2,,,,,,HSK_1-Common-10,,,slowly/gently,,1788.0,Y
徒,304,,tu2,,,,,,HSK_1-Common-10,,,disciple;  apprentice,,1773.0,Y
恋,6562,,lian4,,,戀,,,HSK_1-Common-10,,,to feel attached to/to long for/to love,,1734.0,Y
恐,6002,,kong3,,,,,,HSK_1-Common-10,,,afraid/frightened/to fear,,1726.0,Y
恩,3366,,en1,,,,,,HSK_1-Common-10,,,favor/grace/kindness,,1682.0,Y
恭,3984,,gong1,,,,,,HSK_1-Common-10,,,respectful,,1692.0,Y
息,10703,,xi1,,,,,,HSK_1-Common-10,,,breath/news/interest (on an investment or loan)/to cease/to stop/to rest/Taiwan pr. [xi2],,1779.0,Y
恶,3319,,e3,,,惡,,,HSK_1-Common-10,,,used in 惡心|恶心[e3 xin1],,1679.0,Y
恶,3334,,e4,,,惡,,,HSK_1-Common-10,,,evil/fierce/vicious/ugly/coarse/to harm,,1680.0,Y
恶,10660,,wu4,,,惡,,,HSK_1-Common-10,,,to hate/to loathe/ashamed/to fear/to slander,,1778.0,Y
拿,7536,,na2,,,,,,HSK_1-Common-10,,,to hold/to seize/to catch/to apprehend/to take/(used in the same way as 把[ba3]: to mark the following noun as a direct object),,1742.0,Y
挨,86,,ai2,,,,,,HSK_1-Common-10,,,to suffer;  to endure/to pull through (hard times)/to delay,,1642.0,Y
挨,230,,ai1,,,,,,HSK_1-Common-10,,,in order;  in sequence/close to,,1640.0,Y
挽,10365,,wan3,,,,,,HSK_1-Common-10,,,to pull/to draw (a cart or a bow)/to roll up/to coil/to carry on the arm/to lament the dead/(fig.) to pull against/to recover,,1775.0,Y
捆,6167,,kun3,,,綑,,,HSK_1-Common-10,,,variant of 捆[kun3]; a bunch/to tie together/bundle,,1729.0,Y
捐,131,,juan1,,,,,,HSK_1-Common-10,,,to relinquish;  to abandon/to contribute,,1724.0,Y
损,64,,sun3,,,損,,,HSK_1-Common-10,,,to decrease;  to lose/to damage,,1763.0,Y
捡,5161,,jian3,,,撿,,,HSK_1-Common-10,,,to pick up/to collect/to gather  to proofread,,1709.0,Y
换,4677,,huan4,,,換,,,HSK_1-Common-10,,,to exchange/to change (clothes etc)/to substitute/to switch/to convert (currency),,1702.0,Y
敌,2937,,di2,,,敵,,,HSK_1-Common-10,,,enemy/to be a match for/to rival/to resist/to withstand,,1673.0,Y
晃,4728,,huang3,,,,,,HSK_1-Common-10,,,to dazzle/to flash past,,1703.0,Y
晃,4739,,huang4,,,,,,HSK_1-Common-10,,,to sway/to shake/to wander about,,1704.0,Y
晋,5479,,jin4,,,晉,,,HSK_1-Common-10,,,to move forward/to promote/to advance,,1722.0,Y
晌,9177,,shang3,,,,,,HSK_1-Common-10,,,part of the day/midday,,1755.0,Y
晒,9112,,shai4,,,曬,,,HSK_1-Common-10,,,"""(of the sun) to shine on/to bask in (the sunshine)/to dry (clothes, grain etc) in the sun/(fig.) to expose and share (one's experiences and thoughts) on the Web (loanword from """"share"""")/(coll.) to give the cold shoulder to""",,1754.0,Y
晓,11053,,xiao3,,,曉,,,HSK_1-Common-10,,,dawn/daybreak/to know/to let sb know/to make explicit,,1783.0,Y
晕,12487,,yun1,,,暈,,,HSK_1-Common-10,,,confused/dizzy/giddy/to faint/to swoon/to lose consciousness/to pass out,,1796.0,Y
晕,12515,,yun4,,,暈,,,HSK_1-Common-10,,,dizzy/halo/ring around moon or sun,,1797.0,Y
柴,2076,,chai2,,,,,,HSK_1-Common-10,,,firewood/lean (of meat)/thin (of a person),,1653.0,Y
栗,6477,,li4,,,,,,HSK_1-Common-10,,,chestnut,,1732.0,Y
校,104,,jiao4,,,,,,HSK_1-Common-10,,,to check;  to collate,,1717.0,Y
校,281,,xiao4,,,,,,HSK_1-Common-10,,,(bound form) school;  college/(bound form) (military) field officer,,1785.0,Y
株,13154,,zhu1,,,,,,HSK_1-Common-10,,,tree trunk/stump (tree root)/a plant/classifier for trees or plants/strain (biology)/to involve others (in shady business),,1811.0,Y
样,11674,,yang4,,,樣,,,HSK_1-Common-10,,,"manner/pattern/way/appearance/shape/classifier: kind, type",,1792.0,Y
核,4394,,he2,,,,,,HSK_1-Common-10,,,pit/stone/nucleus/nuclear/to examine/to check/to verify,,1696.0,Y
根,3947,,gen1,,,,,,HSK_1-Common-10,,,"root/basis/classifier for long slender objects, e.g. cigarettes, guitar strings/CL:條|条[tiao2]/radical (chemistry)",,1690.0,Y
格,3915,,ge2,,,,,,HSK_1-Common-10,,,square/frame/rule/(legal) case/style/character/standard/pattern/(grammar) case/(classical) to obstruct/to hinder/(classical) to arrive/to come/(classical) to investigate/to study exhaustively,,1689.0,Y
桂,4219,,gui4,,,,,,HSK_1-Common-10,,,cassia/laurel,,1694.0,Y
桃,9948,,tao2,,,,,,HSK_1-Common-10,,,peach,,1767.0,Y
框,6093,,kuang4,,,,,,HSK_1-Common-10,,,frame (e.g. door frame)/casing/fig. framework/template/to circle (i.e. draw a circle around sth)/to frame/to restrict/Taiwan pr. [kuang1],,1728.0,Y
桌,13304,,zhuo1,,,,,,HSK_1-Common-10,,,table/desk/classifier for tables of guests at a banquet etc,,1814.0,Y
桐,10150,,tong2,,,,,,HSK_1-Common-10,,,"tree name (variously Paulownia, Firmiana or Aleurites)",,1771.0,Y
档,2847,,dang3,,,檔,,,HSK_1-Common-10,,,"(Tw) variant of 擋|挡[dang3], gear",,1668.0,Y
档,2856,,dang4,,,檔,,,HSK_1-Common-10,,,"official records/grade (of goods)/file/records/shelves/slot/gap/crosspiece/classifier for crosspieces/classifier for events, affairs etc/Taiwan pr. [dang3]",,1670.0,Y
桥,8501,,qiao2,,,橋,,,HSK_1-Common-10,,,bridge/CL:座[zuo4],,1749.0,Y
桨,5252,,jiang3,,,槳,,,HSK_1-Common-10,,,oar/paddle,,1714.0,Y
殊,9463,,shu1,,,,,,HSK_1-Common-10,,,different/unique/special/very/(classical) to behead/to die/to cut off/to separate/to surpass,,1759.0,Y
毙,1660,,bi4,,,斃,,,HSK_1-Common-10,,,to die/to shoot dead/to reject/to fall forward/(suffix) to death,,1649.0,Y
氧,11666,,yang3,,,,,,HSK_1-Common-10,,,oxygen (chemistry),,1791.0,Y
浆,5238,,jiang1,,,漿,,,HSK_1-Common-10,,,thick liquid/to starch,,1713.0,Y
浆,5266,,jiang4,,,漿,,,HSK_1-Common-10,,,variant of 糨[jiang4],,1715.0,Y
烈,6655,,lie4,,,,,,HSK_1-Common-10,,,ardent/intense/fierce/stern/upright/to give one's life for a noble cause/exploits/achievements,,1735.0,Y
热,8845,,re4,,,熱,,,HSK_1-Common-10,,,to warm up/to heat up/hot (of weather)/heat/fervent,,1752.0,Y
爱,117,,ai4,,,愛,,,HSK_1-Common-10,,,to love;  to be fond of,,1644.0,Y
爹,3063,,die1,,,,,,HSK_1-Common-10,,,dad,,1674.0,Y
特,9965,,te4,,,,,,HSK_1-Common-10,,,"special/unique/distinguished/especially/unusual/very/abbr. for 特克斯[te4 ke4 si1], tex",,1769.0,Y
牺,10734,,xi1,,,犧,,,HSK_1-Common-10,,,sacrifice,,1780.0,Y
狸,6423,,li2,,,貍,,,HSK_1-Common-10,,,variant of 狸[li2]; raccoon dog/fox-like animal,,1731.0,Y
狼,6275,,lang2,,,,,,HSK_1-Common-10,,,"wolf/CL:匹[pi3],隻|只[zhi1],條|条[tiao2]",,1730.0,Y
留,6777,,liu2,,,,,,HSK_1-Common-10,,,to leave (a message etc)/to retain/to stay/to remain/to keep/to preserve,,1737.0,Y
病,1848,,bing4,,,,,,HSK_1-Common-10,,,illness/CL:場|场[chang2]/disease/to fall ill/defect,,1651.0,Y
症,12938,,zheng4,,,,,,HSK_1-Common-10,,,disease/illness,,1805.0,Y
皱,13141,,zhou4,,,皺,,,HSK_1-Common-10,,,to wrinkle/wrinkled/to crease,,1810.0,Y
监,5130,,jian1,,,監,,,HSK_1-Common-10,,,to supervise/to inspect/jail/prison,,1708.0,Y
监,5208,,jian4,,,監,,,HSK_1-Common-10,,,supervisor,,1710.0,Y
真,12865,,zhen1,,,,,,HSK_1-Common-10,,,really/truly/indeed/real/true/genuine,,1804.0,Y
眠,7327,,mian2,,,,,,HSK_1-Common-10,,,to sleep/to hibernate,,1740.0,Y
破,8176,,po4,,,,,,HSK_1-Common-10,,,"broken/damaged/worn out/lousy/rotten/to break, split or cleave/to get rid of/to destroy/to break with/to defeat/to capture (a city etc)/to expose the truth of",,1745.0,Y
础,2445,,chu3,,,礎,,,HSK_1-Common-10,,,foundation/base,,1663.0,Y
秘,1680,,bi4,,,,,,HSK_1-Common-10,,,see 秘魯|秘鲁[Bi4 lu3],,1650.0,Y
秘,7316,,mi4,,,,,,HSK_1-Common-10,,,secret/secretary,,1739.0,Y
租,13442,,zu1,,,,,,HSK_1-Common-10,,,to hire/to rent/to charter/to rent out/to lease out/rent/land tax,,1815.0,Y
秤,2285,,cheng4,,,,,,HSK_1-Common-10,,,steelyard/Roman balance/CL:臺|台[tai2],,1659.0,Y
秧,11641,,yang1,,,,,,HSK_1-Common-10,,,shoots/sprouts,,1790.0,Y
秩,13045,,zhi4,,,,,,HSK_1-Common-10,,,order/orderliness/(classifier) ten years,,1809.0,Y
积,4895,,ji1,,,積,,,HSK_1-Common-10,,,to amass/to accumulate/to store/measured quantity (such as area of volume)/product (the result of multiplication)/to integrate (math.)/to solve (or integrate) an ordinary differential equation (math.)/old/long-standing,,1707.0,Y
称,2232,,chen4,,,稱,,,HSK_1-Common-10,,,to fit/balanced/suitable,,1656.0,Y
称,2249,,cheng1,,,稱,,,HSK_1-Common-10,,,to weigh/to state/to name/name/appellation/to praise,,1657.0,Y
笋,9765,,sun3,,,筍,,,HSK_1-Common-10,,,bamboo shoot,,1764.0,Y
笑,31,,xiao4,,,,,,HSK_1-Common-10,,,to laugh;  to smile/to laugh at,,1784.0,Y
笔,1637,,bi3,,,筆,,,HSK_1-Common-10,,,"pen/pencil/writing brush/to write or compose/the strokes of Chinese characters/classifier for sums of money, deals/CL:支[zhi1],枝[zhi1]",,1648.0,Y
索,9788,,suo3,,,,,,HSK_1-Common-10,,,to search/to demand/to ask/to exact/large rope/isolated,,1765.0,Y
紧,5468,,jin3,,,緊,,,HSK_1-Common-10,,,tight/strict/close at hand/near/urgent/tense/hard up/short of money/to tighten,,1721.0,Y
缺,8780,,que1,,,,,,HSK_1-Common-10,,,deficiency/lack/scarce/vacant post/to run short of,,1751.0,Y
罢,1422,,ba4,,,罷,,,HSK_1-Common-10,,,to stop/to cease/to dismiss/to suspend/to quit/to finish,,1645.0,Y
翁,10559,,weng1,,,,,,HSK_1-Common-10,,,elderly man/father/father-in-law/neck feathers of a bird (old),,1777.0,Y
翅,2349,,chi4,,,,,,HSK_1-Common-10,,,wing (of a bird or insect) (bound form),,1661.0,Y
耻,2328,,chi3,,,恥,,,HSK_1-Common-10,,,shame/disgrace,,1660.0,Y
耽,2803,,dan1,,,,,,HSK_1-Common-10,,,to indulge in/to delay,,1667.0,Y
胳,3905,,ge1,,,,,,HSK_1-Common-10,,,armpit,,1687.0,Y
胶,5286,,jiao1,,,膠,,,HSK_1-Common-10,,,to glue/glue/gum/rubber,,1716.0,Y
胸,11217,,xiong1,,,,,,HSK_1-Common-10,,,chest/bosom/heart/mind/thorax,,1786.0,Y
脂,12964,,zhi1,,,,,,HSK_1-Common-10,,,fat/rouge (cosmetics)/resin,,1806.0,Y
脆,2688,,cui4,,,,,,HSK_1-Common-10,,,brittle/fragile/crisp/crunchy/clear and loud voice/neat,,1666.0,Y
脏,12579,,zang1,,,髒,,,HSK_1-Common-10,,,dirty/filthy/to get (sth) dirty,,1798.0,Y
脏,12584,,zang4,,,臟,,,HSK_1-Common-10,,,viscera/(anatomy) organ,,1799.0,Y
脑,7615,,nao3,,,腦,,,HSK_1-Common-10,,,brain/mind/head/essence,,1743.0,Y
臭,2415,,chou4,,,,,,HSK_1-Common-10,,,stench/smelly/to smell (bad)/repulsive/loathsome/terrible/bad/severely/ruthlessly/dud (ammunition),,1662.0,Y
臭,11246,,xiu4,,,,,,HSK_1-Common-10,,,sense of smell/smell bad,,1787.0,Y
致,13054,,zhi4,,,,,,HSK_1-Common-10,,,to send/to devote/to deliver/to cause/to convey;  (bound form) fine;  delicate,,1808.0,Y
航,4343,,hang2,,,,,,HSK_1-Common-10,,,boat/ship/craft/to navigate/to sail/to fly,,1695.0,Y
般,1458,,ban1,,,,,,HSK_1-Common-10,,,sort/kind/class/way/manner,,1646.0,Y
舰,5214,,jian4,,,艦,,,HSK_1-Common-10,,,warship,,1712.0,Y
舱,1988,,cang1,,,艙,,,HSK_1-Common-10,,,cabin/the hold of a ship or airplane,,1652.0,Y
荷,4404,,he2,,,,,,HSK_1-Common-10,,,lotus,,1697.0,Y
荷,4430,,he4,,,,,,HSK_1-Common-10,,,to carry on one's shoulder or back/burden/responsibility,,1698.0,Y
莫,7481,,mo4,,,,,,HSK_1-Common-10,,,do not/there is none who,,1741.0,Y
莲,6545,,lian2,,,蓮,,,HSK_1-Common-10,,,lotus,,1733.0,Y
获,110,,huo4,,,獲,,,HSK_1-Common-10,,,(literary) to catch;  to capture/(literary) to get;  (bound form) to reap;  to harvest,,1706.0,Y
虑,6959,,lu:4,,,慮,,,HSK_1-Common-10,,,to think over/to consider/anxiety,,1738.0,Y
蚊,10538,,wen2,,,螡,,,HSK_1-Common-10,,,old variant of 蚊[wen2]; mosquito,,1776.0,Y
衰,2670,,cui1,,,,,,HSK_1-Common-10,,,mourning garments,,1665.0,Y
衰,9522,,shuai1,,,,,,HSK_1-Common-10,,,to decline/to wane/to become weak or feeble,,1760.0,Y
贼,12635,,zei2,,,賊,,,HSK_1-Common-10,,,thief/traitor/wily/deceitful/evil/extremely,,1801.0,Y
贿,4804,,hui4,,,賄,,,HSK_1-Common-10,,,(bound form) bribery,,1705.0,Y
躬,3991,,gong1,,,,,,HSK_1-Common-10,,,"body (of a human, esp. the torso)/to bow/(literary) oneself; personally",,1691.0,Y
轿,5357,,jiao4,,,轎,,,HSK_1-Common-10,,,sedan chair/palanquin/litter,,1719.0,Y
较,5356,,jiao4,,,較,,,HSK_1-Common-10,,,to compare/to dispute/compared to/(before adj.) relatively/comparatively/rather/also pr. [jiao3],,1718.0,Y
辱,8945,,ru3,,,,,,HSK_1-Common-10,,,disgrace/dishonor/to insult/to bring disgrace or humiliation to/to be indebted to/self-deprecating/Taiwan pr. [ru4],,1753.0,Y
透,40,,tou4,,,,,,HSK_1-Common-10,,,(bound form) to penetrate;  to seep through/to tell secretly,,1772.0,Y
逐,13184,,zhu2,,,,,,HSK_1-Common-10,,,(bound form) to pursue/to chase away/individually/one by one,,1812.0,Y
途,10207,,tu2,,,,,,HSK_1-Common-10,,,way/route/road,,1774.0,Y
逗,84,,dou4,,,,,,HSK_1-Common-10,,,to tease (playfully);  to entice/(coll.) to joke/(coll.) funny,,1676.0,Y
逝,94,,shi4,,,,,,HSK_1-Common-10,,,(of flowing water or time) to pass by/to pass away;  to die,,1758.0,Y
速,9701,,su4,,,,,,HSK_1-Common-10,,,fast/rapid/quick/velocity,,1762.0,Y
造,12614,,zao4,,,,,,HSK_1-Common-10,,,to make/to build/to manufacture/to invent/to fabricate/to go to/party (in a lawsuit or legal agreement)/crop/classifier for crops,,1800.0,Y
逢,3617,,feng2,,,,,,HSK_1-Common-10,,,to meet by chance/to come across/(of a calendar event) to come along/(of an event) to fall on (a particular day)/to fawn upon,,1684.0,Y
都,294,,dou1,,,,,,HSK_1-Common-10,,,all;  both,,1675.0,Y
都,3173,,du1,,,,,,HSK_1-Common-10,,,capital city/metropolis,,1677.0,Y
配,7960,,pei4,,,,,,HSK_1-Common-10,,,to join/to fit/to mate/to mix/to match/to deserve/to make up (a prescription)/to allocate,,1744.0,Y
钱,8416,,qian2,,,錢,,,HSK_1-Common-10,,,"coin/money/CL:筆|笔[bi3]/unit of weight, one tenth of a tael 兩|两[liang3]",,1747.0,Y
钳,8414,,qian2,,,鉗,,,HSK_1-Common-10,,,pincers/pliers/tongs/claw (of animal)/to grasp with pincers/to pinch/to clamp/to restrain/to restrict/to gag,,1748.0,Y
钻,13460,,zuan1,,,鑽,,,HSK_1-Common-10,,,to drill/to bore/to get into/to make one's way into/to enter (a hole)/to thread one's way through/to study intensively/to dig into/to curry favor for personal gain,,1816.0,Y
钻,13469,,zuan4,,,鑽,,,HSK_1-Common-10,,,an auger/diamond,,1817.0,Y
铁,10096,,tie3,,,鐵,,,HSK_1-Common-10,,,iron (metal)/arms/weapons/hard/strong/violent/unshakeable/determined/close/tight (slang),,1770.0,Y
铃,6746,,ling2,,,鈴,,,HSK_1-Common-10,,,(small) bell/CL:隻|只[zhi1],,1736.0,Y
铅,8389,,qian1,,,鉛,,,HSK_1-Common-10,,,lead (chemistry),,1746.0,Y
顾,4103,,gu4,,,顧,,,HSK_1-Common-10,,,to look after/to take into consideration/to attend to,,1693.0,Y
顿,3259,,dun4,,,頓,,,HSK_1-Common-10,,,"to stop/to pause/to arrange/to lay out/to kowtow/to stamp (one's foot)/at once/classifier for meals, beatings, scoldings etc: time, bout, spell, meal",,1678.0,Y
颂,9644,,song4,,,頌,,,HSK_1-Common-10,,,ode/eulogy/to praise in writing/to wish (in letters),,1761.0,Y
