id	zi	alias	pinyin	is_radical	is_active	desc_en
1235	仲	仲	zhong4	0	0	surname Zhong
13102	仲	仲	zhong4	0	0	second month of a season/middle/intermediate/second amongst brothers
1033	仵	仵	wu3	0	0	surname Wu
10629	仵	仵	wu3	0	0	equal/well-matched/to violate
5104	价	價	jia4	0	0	price/value/(chemistry) valence
5444	价	價	jie5	0	0	great/good/middleman/servant
872	任	任	ren2	0	0	surname Ren/Ren County 任縣|任县[Ren2 Xian4] in Hebei
8859	任	任	ren4	0	0	to assign/to appoint/to take up a post/office/responsibility/to let/to allow/to give free rein to/no matter (how, what etc)/classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)
3490	仿	仿	fang3	0	0	to imitate/to copy
3491	仿	倣	fang3	0	0	variant of 仿[fang3]
3492	仿	彷	fang3	0	0	seemingly
1127	伊	伊	yi1	0	0	surname Yi/abbr. for 伊拉克[Yi1 la1 ke4], Iraq/abbr. for 伊朗[Yi1 lang3], Iran
11790	伊	伊	yi1	0	0	"""(old) third person singular pronoun (""""he"""" or """"she"""")/second person singular pronoun (""""you"""")/(May 4th period) third person singular feminine pronoun (""""she"""")/(Classical Chinese) introductory particle with no specific meaning/that (preceding a noun)"""
1034	伍	伍	wu3	0	0	surname Wu
10630	伍	伍	wu3	0	0	squad of five soldiers/to associate with/five (banker's anti-fraud numeral)
471	伏	伏	fu2	0	0	surname Fu
3655	伏	伏	fu2	0	0	to lean over/to fall (go down)/to hide (in ambush)/to conceal oneself/to lie low/hottest days of summer/to submit/to concede defeat/to overcome/to subdue/volt
1077	休	休	xiu1	0	0	surname Xiu  hollow/Taiwan pr. [ao1]
11222	休	休	xiu1	0	0	to rest/to stop doing sth for a period of time/to cease/(imperative) don't
199	众	眾	zhong4	0	0	crowd;  multitude/many
1236	众	眾	zhong4	0	0	abbr. for 眾議院|众议院[Zhong4 yi4 yuan4], House of Representatives
13107	众	衆	zhong4	0	0	variant of 眾|众[zhong4]
4836	伙	伙	huo3	0	0	meals (abbr. for 伙食[huo3 shi2])/variant of 夥|伙[huo3]
4837	伙	夥	huo3	0	0	companion/partner/group/classifier for groups of people/to combine/together
71	会	會	hui4	0	0	can;  to have the skill
6060	会	會	kuai4	0	0	to balance an account/accounting/accountant
2474	伝	伝	chuan2	0	0	Japanese variant of 傳|传
12492	伝	伝	yun2	0	0	to summon/to propagate/to transmit
9026	伞	傘	san3	0	0	umbrella/parasol/CL:把[ba3]
9029	伞	繖	san3	0	0	damask silk/variant of 傘|伞[san3]
2475	传	傳	chuan2	0	0	to pass on/to spread/to transmit/to infect/to transfer/to circulate/to conduct (electricity)
13251	传	傳	zhuan4	0	0	biography/historical narrative/commentaries/relay station
10462	伪	偽	wei3	0	0	false/fake/forged/bogus/(prefix) pseudo-/Taiwan pr. [wei4]
10463	伪	僞	wei3	0	0	variant of 偽|伪[wei3]
13200	伫	佇	zhu4	0	0	to stand for a long time/to wait/to look forward to/to accumulate
13212	伫	竚	zhu4	0	0	to stand for a long time (variant of 佇|伫[zhu4])
163	伭	伭	xian2	0	0	(literary) cruel;  ruthless/(literary) dark red
1051	伭	伭	xian2	0	0	surname Xian
11355	伭	伭	xuan2	0	0	variant of 玄[xuan2]/variant of 懸|悬[xuan2]
1415	伯	伯	ba4	0	0	variant of 霸[ba4]
1431	伯	伯	bai3	0	0	one hundred (old)
1870	伯	伯	bo2	0	0	father's elder brother/senior/paternal elder uncle/eldest of brothers/respectful form of address/Count, third of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]
4037	估	估	gu1	0	0	estimate
4089	估	估	gu4	0	0	old/second-hand (clothes)
