zi	desc	pinyin	nstrokes	alias	is_radical	is_zi	is_traditional	is_active	desc_en_2	desc_en														
烂		lan4		爛	0	1	0		 mushy/well-cooked and soft/to rot	soft														
肌		ji1		肌	0	1	0		 muscle	(bound form) flesh														
众		zhong4		眾	0	1	0		 multitude/many	crowd														
多		duo1		多	0	1	0		 much/too many	many														
鼠		shu3		鼠	0	1	0		 mouse	(bound form) rat														
岗		gang3		崗	0	1	0		 mound/sentry post	(bound form) hillock														
魄		po4		魄	0	1	0		 mortal soul (i.e. attached to the body)	soul														
钿		tian2		鈿	0	1	0		 money	(dialect) coin														
潮		chao2		潮	0	1	0		 moist	tide/damp														
差		cha4		差	0	1	0		 mistaken/to fall short	different/wrong														
灶		zao4		灶	0	1	0		 mess	kitchen stove/kitchen														
悢		liang4		悢	0	1	0		 melancholy	(literary) sad														
兆		zhao4		兆	0	1	0		 mega-/(Tw) trillion	(bound form) omen/to foretell/million														
机		ji1		機	0	1	0		 mechanism/(bound form) aircraft/(bound form) an opportunity/(bound form) crucial point	(bound form) machine														
余		yu2		余	0	1	0		 me/variant of 餘|余[yu2]	(literary) I														
我		wo3		我	0	1	0		 me	I														
熟		shu2		熟	0	1	0		 mature/thoroughly cooked	ripe														
郁		yu4		鬱	0	1	0		 luxuriant/(bound form) melancholy	(bound form) (of vegetation) lush														
皓		hao4		皓	0	1	0		 luminous	bright														
隶		li4		隸	0	1	0		 low-ranking subordinate/(bound form) to be subordinate to/(bound form) clerical script (the style of characters intermediate between ancient seal and modern regular characters)	(bound form) a person in servitude														
赃		zang1		贓	0	1	0		 loot	stolen goods														
址		zhi3		址	0	1	0		 location	(bound form) site														
嫩		nen4		嫩	0	1	0		 lightly cooked/(of color) light/(of a person) inexperienced	young and tender/(of food) tender														
苔		tai2		苔	0	1	0		 lichen	moss														
宬		cheng2		宬	0	1	0		 library (esp. in the imperial palace in the Ming and Qing dynasties)	(literary) archive room														
偟		huang2		偟	0	1	0		 leisure/agitated	(literary) free time														
酵		jiao4		酵	0	1	0		 leaven/fermentation/Taiwan pr. [xiao4]	yeast														
大		da4		大	0	1	0		 large	big														
闺		gui1		閨	0	1	0		 lady's chamber/(fig.) women	small arched door/boudoir														
路		lu4		路	0	1	0		 kind	road/CL:條|条[tiao2]/journey/route/line (bus etc)/sort														
戚		qi1		戚	0	1	0		 kin/grief	relatives														
意		Yi4		意	0	1	0		 Italian (abbr. for 意大利[Yi4 da4 li4])	Italy														
煋		xing1		煋	0	1	0		 intense	(literary) (of a fire) fierce														
挨		ai1		挨	0	1	0		 in sequence/close to	in order														
巨		ju4		巨	0	1	0		 huge	very large														
躁		zao4		躁	0	1	0		 hot-tempered	impatient														
干		gan1		乾	0	1	0		 hollow/taken in to nominal kinship	dry/dried food/empty														
臽		xian4		臽	0	1	0		 hole in the ground/(archaic) variant of 陷[xian4]	(archaic) pit														
他		ta1		他	0	1	0		 him (used for either sex when the sex is unknown or unimportant)/(used before sb's name for emphasis)/(used as a meaningless mock object)/(literary) other	he														
山		shan1		山	0	1	0		 hill (CL:座[zuo4])/(coll.) small bundle of straw for silkworms to spin cocoons on	mountain														
藩		fan1		藩	0	1	0		 hedge/(literary) screen	fence														
哀		ai1		哀	0	1	0		 grief	sorrow														
亄		yi4		亄	0	1	0		 greedy	covetous														
褂		gua4		褂	0	1	0		 gown	Chinese-style unlined garment														
美		mei3		美	0	1	0		 good/to beautify/to be pleased with oneself	beautiful/very satisfactory														
暶		xuan2		暶	0	1	0		 good-looking	(literary) bright/(literary) beautiful														
鬼		gui3		鬼	0	1	0		 ghost	disembodied spirit														
表		biao3		錶	0	1	0		 gauge	watch (timepiece)/meter														
充		chong1		充	0	1	0		 full/to fill/to serve as	sufficient														
弸		peng2		弸	0	1	0		 full	strong bow/bowstring/to fill														
薪		xin1		薪	0	1	0		 fuel/salary	firewood														
泡		pao4		泡	0	1	0		 foam/blister/to soak	bubble														
弱		ruo4		弱	0	1	0		 feeble/young/inferior	weak														
辽		liao2		遼	0	1	0		 faraway	(bound form) distant														
睛		jing1		睛	0	1	0		 eyeball	eye														
幂		mi4		冪	0	1	0		 exponent/to cover with a cloth/cloth cover	(math.) power														
傀		gui1		傀	0	1	0		 exotic	grand/strange														
缪		miu4		繆	0	1	0		 erroneous (variant of 謬|谬[miu4])	error														
绣		xiu4		繡	0	1	0		 embroidery	to embroider														
坝		ba4		壩	0	1	0		 embankment/CL:條|条[tiao2]	dam/dike														
畔		pan4		畔	0	1	0		 edge	(bound form) side														
厮		si1		廝	0	1	0		 each other/(bound form) male servant/(bound form) dude	(bound form) together														
黯		an4		黯	0	1	0		 dull (color)	(bound form) dark														
由		you2		由	0	1	0		 due to/by	to follow/from/because of														
胀		zhang4		脹	0	1	0		 dropsical	to swell														
惶		huang2		惶	0	1	0		 dread	(bound form) fear														
茸		rong2		茸	0	1	0		 downy	(bound form) (of newly sprouted grass) soft and fine														
鸽		ge1		鴿	0	1	0		 dove	pigeon														
差		cha1		差	0	1	0		 discrepancy/(math.) difference (amount remaining after a subtraction)/(literary) a little	difference														
怃		wu3		憮	0	1	0		 disappointed/(literary) startled	(literary) to have tender affection for/(literary) discouraged														
㞗		qiu2		㞗	0	1	0		 dick	(dialect) penis														
魔		mo2		魔	0	1	0		 devil/(prefix) supernatural	(bound form) evil spirit														
坑		keng1		坑	0	1	0		 depression	pit														
睯		hun1		睯	0	1	0		 depressed	gloomy														
婧		jing4		婧	0	1	0		 delicate/(literary) (of a woman) talented	(literary) (of a woman) slender														
致		zhi4		緻	0	1	0		 delicate	(bound form) fine														
灰		hui1		灰	0	1	0		 dejected	ash/dust/lime/gray/discouraged														
诡		gui3		詭	0	1	0		 crafty/weird	sly														
对		dui4		對	0	1	0		 correct/towards	right														
玛		ma3		瑪	0	1	0		 cornelian	agate														
凊		jing4		凊	0	1	0		 cool	(literary) cold														
抢		qiang1		搶	0	1	0		 contrary	(literary) to knock against (esp. to knock one's head on the ground in grief or rage)/opposite in direction														
伴		ban4		伴	0	1	0		 companion	partner														
品		pin3		品	0	1	0		 commodity	(bound form) article														
校		xiao4		校	0	1	0		 college/(bound form) (military) field officer	(bound form) school														
垝		gui3		垝	0	1	0		 collapsed	(literary) dilapidated														
㑇		zhou4		㑳	0	1	0		 clever	(old) beautiful														
豁		huo4		豁	0	1	0		 clear	open														
清		qing1		清	0	1	0		 clean/quiet	(of water etc) clear														
枣		zao3		棗	0	1	0		 Chinese date (Zizyphus jujuba)	(bound form) jujube														
栗		li4		慄	0	1	0		 chilly/(bound form) to tremble with fear	(literary) cold														
坳		ao4		坳	0	1	0		 cavity	depression														
漕		cao2		漕	0	1	0		 canal	to transport (esp. grain) by water/(literary) watercourse														
佛		Fo2		佛	0	1	0		 Buddhism (abbr. for 佛陀[Fo2 tuo2])	Buddha														
耿		geng3		耿	0	1	0		 brilliant/honest	(literary) bright														
蔂		lei2		虆	0	1	0		 bramble/(literary) basket for carrying soil	to entwine/creeper														
也		ye3		也	0	1	0		 both ... and ... (before predicates only)/(literary) particle having functions similar to 啊[a5]	(adverb) also														
都		dou1		都	0	1	0		 both	all														
俱		ju4		俱	0	1	0		 both	(literary) all														
界		jie4		界	0	1	0		 border/(bound form) realm	(bound form) boundary														
炴		yang3		炴	0	1	0		 blaze	firelight														
滫		xiu3		滫	0	1	0		 befouled water	(literary) water that was used to rinse rice and has become smelly														
脊		ji3		脊	0	1	0		 backbone/(bound form) ridge	(bound form) spine														
于		yu2		於	0	1	0		 at	(of time or place) in														
烬		jin4		燼	0	1	0		 ashes	(bound form) cinders														
倨		ju4		倨	0	1	0		 arrogant	(literary) haughty														
箓		lu4		籙	0	1	0		 archive/Taoist written charm/document of prophecy attesting to dynastic fortunes	record book														
徒		tu2		徒	0	1	0		 apprentice	disciple														
气		qi4		氣	0	1	0		 air/smell/weather/to make angry	gas														
疾		ji2		疾	0	1	0		 ailment/(bound form) swift/(literary) to hate	(bound form) disease														
縡		zai4		縡	0	1	0		 affair	matter														
𪟝		ji4		勣	0	1	0		 accomplishment (variant of 績|绩[ji4])	merit														
盎		ang4		盎	0	1	0		 abundant	ancient earthenware container with a big belly and small mouth/(literary) brimming														
弯		wan1		彎	0	1	0		 a turn (in a road etc)/CL:道[dao4]	to bend/bent/a bend														
的		di1		的	0	1	0		 a cab (abbr. for 的士[di1 shi4])	a taxi														
的		de5		的	0	1	0		 ~'s (possessive particle)/(used after an attribute)/(used to form a nominal expression)/(used at the end of a declarative sentence for emphasis)/also pr. [di4] or [di5] in poetry and songs	of														
蚬		xian3		蜆	0	1	0		 (esp.) Corbicula leana 真蜆|真蚬[zhen1 xian3]	basket clam (clam of family Corbiculidae)														
八		ba1		八	0	1	0		8	eight														
阿		A1		阿	0	1	0	1		abbr. for Afghanistan 阿富汗[A1 fu4 han4]														
哀		Ai1		哀	0	1	0	1		Ai (c. 2000 BC), sixth of legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God, also known as Li 釐|厘[Li2]														
埃		Ai1		埃	0	1	0	1		abbr. for Egypt 埃及[Ai1 ji2]														
艾		Ai4		艾	0	1	0	1		surname Ai														
安		An1		安	0	1	0	1		surname An														
敖		Ao2		敖	0	1	0	1		surname Ao														
隞		Ao2		隞	0	1	0	1		Ao, Shang Dynasty capital (northeast part of modern day Zhengzhou, Henan)														
奥		Ao4		奧	0	1	0	1		Austria (abbr. for 奧地利|奥地利[Ao4 di4 li4])/Olympics (abbr. for 奧林匹克|奥林匹克[Ao4 lin2 pi3 ke4])														
澳		Ao4		澳	0	1	0	1		abbr. for Macao 澳門|澳门/abbr. for Australia 澳大利亞|澳大利亚														
仈		Ba1		仈	0	1	0	1		surname Ba														
巴		Ba1		巴	0	1	0	1		Ba state during Zhou dynasty (in east of modern Sichuan)/abbr. for east Sichuan or Chongqing/surname Ba/abbr. for Palestine or Palestinian/abbr. for Pakistan														
灞		Ba4		灞	0	1	0	1		name of a river														
白		Bai2		白	0	1	0	1		surname Bai														
柏		Bai3		柏	0	1	0	1		surname Bai/Taiwan pr. [Bo2]														
百		Bai3		百	0	1	0	1		surname Bai														
班		Ban1		班	0	1	0	1		surname Ban														
包		Bao1		包	0	1	0	1		surname Bao														
保		Bao3		保	0	1	0	1		Bulgaria/Bulgarian/abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4]														
暴		Bao4		暴	0	1	0	1		surname Bao														
鲍		Bao4		鮑	0	1	0	1		surname Bao														
贝		Bei4		貝	0	1	0	1		surname Bei														
犇		Ben1		犇	0	1	0	1		surname Ben														
贲		Ben1		賁	0	1	0	1		surname Ben														
蚌		Beng4		蚌	0	1	0	1		abbr. for Bengbu prefecture-level city 蚌埠市[Beng4 bu4 shi4], Anhui														
比		Bi3		比	0	1	0	1		Belgium/Belgian/abbr. for 比利時|比利时[Bi3 li4 shi2]														
毕		Bi4		畢	0	1	0	1		surname Bi														
邲		Bi4		邲	0	1	0	1		surname Bi/ancient place name														
卞		Bian4		卞	0	1	0	1		surname Bian														
汳		Bian4		汳	0	1	0	1		name of an ancient river in Henan														
汴		Bian4		汴	0	1	0	1		name of a river in Henan/Henan														
别		Bie2		別	0	1	0	1		surname Bie														
邠		Bin1		邠	0	1	0	1		variant of 豳[Bin1]														
并		Bing1		并	0	1	0	1		short name for Taiyuan 太原[Tai4 yuan2]														
秉		Bing3		秉	0	1	0	1		surname Bing														
邴		Bing3		邴	0	1	0	1		surname Bing														
波		Bo1		波	0	1	0	1		Poland/Polish/abbr. for 波蘭|波兰[Bo1 lan2]														
亳		Bo2		亳	0	1	0	1		name of district in Anhui/capital of Yin														
僰		Bo2		僰	0	1	0	1		name of an ethnic group														
渤		Bo2		渤	0	1	0	1		same as 渤海[Bo2 Hai3], Bohai Sea between Liaoning and Shandong/Gulf of Zhili or Chihli														
薄		Bo2		薄	0	1	0	1		surname Bo														
卜		Bu3		卜	0	1	0	1		surname Bu														
步		Bu4		步	0	1	0	1		surname Bu														
蔡		Cai4		蔡	0	1	0	1		surname Cai														
苍		Cang1		蒼	0	1	0	1		surname Cang														
曹		Cao2		曹	0	1	0	1		surname Cao/Zhou Dynasty vassal state														
鄵		Cao4		鄵	0	1	0	1		ancient place name (between present-day Xinzheng County 新鄭|新郑[Xin1 zheng4] and Lushan County 魯山|鲁山[Lu3 shan1], Henan)														
策		Ce4		策	0	1	0	1		surname Ce														
岑		Cen2		岑	0	1	0	1		surname Cen														
察		Cha2		察	0	1	0	1		short name for Chahar Province 察哈爾|察哈尔[Cha2 ha1 er3]														
柴		Chai2		柴	0	1	0	1		surname Chai														
瀍		Chan2		瀍	0	1	0	1		Chanshui river in Henan														
昌		Chang1		昌	0	1	0	1		surname Chang														
常		Chang2		常	0	1	0	1		surname Chang														
苌		Chang2		萇	0	1	0	1		surname Chang														
巢		Chao2		巢	0	1	0	1		surname Chao														
晁		Chao2		晁	0	1	0	1		surname Chao														
朝		Chao2		朝	0	1	0	1		abbr. for 朝鮮|朝鲜[Chao2 xian3] Korea														
车		Che1		車	0	1	0	1		surname Che														
臣		Chen2		臣	0	1	0	1		surname Chen														
谌		Chen2		諶	0	1	0	1		surname Chen														
陈		Chen2		陳	0	1	0	1		surname Chen/Chen (c. 1045 - 479 BC), a Zhou dynasty state/Chen (557-589), one of the Southern Dynasties 南朝[Nan2 Chao2]														
乘		Cheng2		乘	0	1	0	1		surname Cheng														
成		Cheng2		成	0	1	0	1		surname Cheng														
承		Cheng2		承	0	1	0	1		surname Cheng/Cheng (c. 2000 BC), third of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God														
